Categoría: Religión y creencias

Día,Espiritualidad: (Portugal)
2019-12-30,36
2019-12-31,59
2020-01-01,51
2020-01-02,0
2020-01-03,35
2020-01-04,0
2020-01-05,34
2020-01-06,44
2020-01-07,0
2020-01-08,0
2020-01-09,53
2020-01-10,0
2020-01-11,35
2020-01-12,30
2020-01-13,35
2020-01-14,35
2020-01-15,26
2020-01-16,33
2020-01-17,27
2020-01-18,0
2020-01-19,0
2020-01-20,35
2020-01-21,0
2020-01-22,27
2020-01-23,31
2020-01-24,0
2020-01-25,41
2020-01-26,32
2020-01-27,52
2020-01-28,35
2020-01-29,39
2020-01-30,38
2020-01-31,28
2020-02-01,45
2020-02-02,0
2020-02-03,34
2020-02-04,28
2020-02-05,59
2020-02-06,35
2020-02-07,54
2020-02-08,0
2020-02-09,32
2020-02-10,34
2020-02-11,31
2020-02-12,0
2020-02-13,32
2020-02-14,37
2020-02-15,43
2020-02-16,32
2020-02-17,100
2020-02-18,58
2020-02-19,41
2020-02-20,41
2020-02-21,39
2020-02-22,0
2020-02-23,34
2020-02-24,48
2020-02-25,42
2020-02-26,39
2020-02-27,24
2020-02-28,52
2020-02-29,32
2020-03-01,0
2020-03-02,41
2020-03-03,49
2020-03-04,24
2020-03-05,41
2020-03-06,35
2020-03-07,0
2020-03-08,44
2020-03-09,0
2020-03-10,50
2020-03-11,0
2020-03-12,23
2020-03-13,0
2020-03-14,50
2020-03-15,39
2020-03-16,25
2020-03-17,38
2020-03-18,33
2020-03-19,30
2020-03-20,36
2020-03-21,49
2020-03-22,48
2020-03-23,39
2020-03-24,33
2020-03-25,33
2020-03-26,40
2020-03-27,29
2020-03-28,69
2020-03-29,72
2020-03-30,54
2020-03-31,67
2020-04-01,42
2020-04-02,47
2020-04-03,36
2020-04-04,54
2020-04-05,42
2020-04-06,35
2020-04-07,34
