Categoría: Religión y creencias

Día,Espiritualidad: (Países Bajos)
2019-12-30,57
2019-12-31,65
2020-01-01,61
2020-01-02,51
2020-01-03,72
2020-01-04,66
2020-01-05,80
2020-01-06,74
2020-01-07,47
2020-01-08,66
2020-01-09,63
2020-01-10,56
2020-01-11,100
2020-01-12,79
2020-01-13,48
2020-01-14,57
2020-01-15,63
2020-01-16,75
2020-01-17,65
2020-01-18,73
2020-01-19,64
2020-01-20,52
2020-01-21,61
2020-01-22,64
2020-01-23,49
2020-01-24,78
2020-01-25,86
2020-01-26,73
2020-01-27,79
2020-01-28,60
2020-01-29,46
2020-01-30,84
2020-01-31,66
2020-02-01,58
2020-02-02,87
2020-02-03,63
2020-02-04,64
2020-02-05,53
2020-02-06,57
2020-02-07,58
2020-02-08,53
2020-02-09,77
2020-02-10,55
2020-02-11,70
2020-02-12,60
2020-02-13,48
2020-02-14,67
2020-02-15,56
2020-02-16,87
2020-02-17,75
2020-02-18,68
2020-02-19,54
2020-02-20,69
2020-02-21,62
2020-02-22,66
2020-02-23,70
2020-02-24,59
2020-02-25,76
2020-02-26,55
2020-02-27,76
2020-02-28,61
2020-02-29,71
2020-03-01,83
2020-03-02,64
2020-03-03,78
2020-03-04,63
2020-03-05,65
2020-03-06,71
2020-03-07,68
2020-03-08,69
2020-03-09,70
2020-03-10,64
2020-03-11,60
2020-03-12,53
2020-03-13,43
2020-03-14,78
2020-03-15,64
2020-03-16,53
2020-03-17,66
2020-03-18,51
2020-03-19,51
2020-03-20,61
2020-03-21,57
2020-03-22,71
2020-03-23,46
2020-03-24,56
2020-03-25,68
2020-03-26,56
2020-03-27,62
2020-03-28,60
2020-03-29,73
2020-03-30,54
2020-03-31,59
2020-04-01,49
2020-04-02,56
2020-04-03,55
2020-04-04,67
2020-04-05,79
2020-04-06,54
2020-04-07,69
