Categoría: Tradiciones paganas y esotéricas

Día,Geo: Reino Unido
2019-12-30,56
2019-12-31,69
2020-01-01,69
2020-01-02,63
2020-01-03,65
2020-01-04,69
2020-01-05,69
2020-01-06,57
2020-01-07,61
2020-01-08,60
2020-01-09,62
2020-01-10,67
2020-01-11,76
2020-01-12,70
2020-01-13,62
2020-01-14,56
2020-01-15,56
2020-01-16,62
2020-01-17,55
2020-01-18,60
2020-01-19,58
2020-01-20,55
2020-01-21,57
2020-01-22,54
2020-01-23,62
2020-01-24,61
2020-01-25,71
2020-01-26,67
2020-01-27,63
2020-01-28,61
2020-01-29,55
2020-01-30,59
2020-01-31,64
2020-02-01,99
2020-02-02,90
2020-02-03,62
2020-02-04,55
2020-02-05,59
2020-02-06,53
2020-02-07,63
2020-02-08,63
2020-02-09,88
2020-02-10,62
2020-02-11,62
2020-02-12,57
2020-02-13,53
2020-02-14,60
2020-02-15,70
2020-02-16,73
2020-02-17,60
2020-02-18,61
2020-02-19,63
2020-02-20,61
2020-02-21,59
2020-02-22,64
2020-02-23,65
2020-02-24,60
2020-02-25,56
2020-02-26,58
2020-02-27,57
2020-02-28,58
2020-02-29,62
2020-03-01,67
2020-03-02,62
2020-03-03,60
2020-03-04,61
2020-03-05,68
2020-03-06,66
2020-03-07,64
2020-03-08,71
2020-03-09,63
2020-03-10,61
2020-03-11,57
2020-03-12,53
2020-03-13,59
2020-03-14,61
2020-03-15,65
2020-03-16,52
2020-03-17,53
2020-03-18,51
2020-03-19,56
2020-03-20,57
2020-03-21,64
2020-03-22,60
2020-03-23,52
2020-03-24,53
2020-03-25,55
2020-03-26,57
2020-03-27,60
2020-03-28,65
2020-03-29,64
2020-03-30,57
2020-03-31,69
2020-04-01,58
2020-04-02,61
2020-04-03,57
2020-04-04,63
2020-04-05,100
2020-04-06,76
2020-04-07,81
