Categoría: Tradiciones paganas y esotéricas

Día,Geo: Alemania
2019-12-30,89
2019-12-31,82
2020-01-01,87
2020-01-02,88
2020-01-03,84
2020-01-04,84
2020-01-05,84
2020-01-06,86
2020-01-07,83
2020-01-08,78
2020-01-09,83
2020-01-10,83
2020-01-11,88
2020-01-12,83
2020-01-13,88
2020-01-14,84
2020-01-15,85
2020-01-16,84
2020-01-17,91
2020-01-18,84
2020-01-19,74
2020-01-20,84
2020-01-21,84
2020-01-22,81
2020-01-23,86
2020-01-24,87
2020-01-25,86
2020-01-26,79
2020-01-27,88
2020-01-28,87
2020-01-29,89
2020-01-30,87
2020-01-31,91
2020-02-01,94
2020-02-02,87
2020-02-03,95
2020-02-04,85
2020-02-05,84
2020-02-06,85
2020-02-07,91
2020-02-08,92
2020-02-09,97
2020-02-10,100
2020-02-11,86
2020-02-12,86
2020-02-13,88
2020-02-14,84
2020-02-15,85
2020-02-16,81
2020-02-17,89
2020-02-18,84
2020-02-19,86
2020-02-20,80
2020-02-21,94
2020-02-22,84
2020-02-23,81
2020-02-24,86
2020-02-25,86
2020-02-26,81
2020-02-27,84
2020-02-28,96
2020-02-29,86
2020-03-01,79
2020-03-02,85
2020-03-03,81
2020-03-04,77
2020-03-05,79
2020-03-06,91
2020-03-07,81
2020-03-08,79
2020-03-09,89
2020-03-10,87
2020-03-11,84
2020-03-12,89
2020-03-13,95
2020-03-14,85
2020-03-15,79
2020-03-16,83
2020-03-17,88
2020-03-18,81
2020-03-19,71
2020-03-20,79
2020-03-21,78
2020-03-22,72
2020-03-23,74
2020-03-24,69
2020-03-25,72
2020-03-26,67
2020-03-27,73
2020-03-28,73
2020-03-29,74
2020-03-30,76
2020-03-31,72
2020-04-01,69
2020-04-02,68
2020-04-03,80
2020-04-04,71
2020-04-05,70
2020-04-06,70
2020-04-07,72
