Categoría: Tradiciones paganas y esotéricas

Día,Geo: Portugal
2019-12-30,77
2019-12-31,59
2020-01-01,63
2020-01-02,73
2020-01-03,63
2020-01-04,76
2020-01-05,81
2020-01-06,57
2020-01-07,70
2020-01-08,51
2020-01-09,67
2020-01-10,53
2020-01-11,65
2020-01-12,66
2020-01-13,63
2020-01-14,59
2020-01-15,77
2020-01-16,52
2020-01-17,59
2020-01-18,57
2020-01-19,56
2020-01-20,56
2020-01-21,52
2020-01-22,67
2020-01-23,61
2020-01-24,51
2020-01-25,51
2020-01-26,67
2020-01-27,70
2020-01-28,55
2020-01-29,53
2020-01-30,61
2020-01-31,61
2020-02-01,82
2020-02-02,100
2020-02-03,63
2020-02-04,64
2020-02-05,57
2020-02-06,62
2020-02-07,66
2020-02-08,59
2020-02-09,63
2020-02-10,62
2020-02-11,56
2020-02-12,60
2020-02-13,69
2020-02-14,65
2020-02-15,65
2020-02-16,60
2020-02-17,61
2020-02-18,64
2020-02-19,55
2020-02-20,65
2020-02-21,55
2020-02-22,66
2020-02-23,61
2020-02-24,53
2020-02-25,69
2020-02-26,53
2020-02-27,57
2020-02-28,57
2020-02-29,73
2020-03-01,60
2020-03-02,60
2020-03-03,53
2020-03-04,62
2020-03-05,57
2020-03-06,63
2020-03-07,62
2020-03-08,82
2020-03-09,70
2020-03-10,60
2020-03-11,48
2020-03-12,38
2020-03-13,50
2020-03-14,58
2020-03-15,63
2020-03-16,45
2020-03-17,41
2020-03-18,43
2020-03-19,48
2020-03-20,63
2020-03-21,53
2020-03-22,53
2020-03-23,55
2020-03-24,53
2020-03-25,57
2020-03-26,52
2020-03-27,58
2020-03-28,55
2020-03-29,63
2020-03-30,55
2020-03-31,63
2020-04-01,57
2020-04-02,49
2020-04-03,53
2020-04-04,54
2020-04-05,72
2020-04-06,60
2020-04-07,60
