Categoría: Tradiciones paganas y esotéricas

Día,Geo: Italia
2019-12-30,54
2019-12-31,46
2020-01-01,60
2020-01-02,53
2020-01-03,52
2020-01-04,55
2020-01-05,57
2020-01-06,52
2020-01-07,51
2020-01-08,53
2020-01-09,49
2020-01-10,47
2020-01-11,53
2020-01-12,59
2020-01-13,53
2020-01-14,49
2020-01-15,56
2020-01-16,51
2020-01-17,47
2020-01-18,56
2020-01-19,51
2020-01-20,50
2020-01-21,49
2020-01-22,52
2020-01-23,52
2020-01-24,47
2020-01-25,56
2020-01-26,55
2020-01-27,52
2020-01-28,57
2020-01-29,64
2020-01-30,60
2020-01-31,56
2020-02-01,62
2020-02-02,65
2020-02-03,55
2020-02-04,50
2020-02-05,58
2020-02-06,55
2020-02-07,52
2020-02-08,51
2020-02-09,57
2020-02-10,47
2020-02-11,55
2020-02-12,59
2020-02-13,56
2020-02-14,48
2020-02-15,51
2020-02-16,55
2020-02-17,53
2020-02-18,52
2020-02-19,55
2020-02-20,79
2020-02-21,67
2020-02-22,59
2020-02-23,53
2020-02-24,50
2020-02-25,49
2020-02-26,48
2020-02-27,53
2020-02-28,47
2020-02-29,49
2020-03-01,62
2020-03-02,54
2020-03-03,50
2020-03-04,48
2020-03-05,45
2020-03-06,47
2020-03-07,48
2020-03-08,49
2020-03-09,48
2020-03-10,48
2020-03-11,43
2020-03-12,50
2020-03-13,53
2020-03-14,56
2020-03-15,54
2020-03-16,52
2020-03-17,51
2020-03-18,51
2020-03-19,50
2020-03-20,54
2020-03-21,58
2020-03-22,59
2020-03-23,100
2020-03-24,66
2020-03-25,62
2020-03-26,63
2020-03-27,58
2020-03-28,57
2020-03-29,59
2020-03-30,54
2020-03-31,57
2020-04-01,60
2020-04-02,59
2020-04-03,59
2020-04-04,57
2020-04-05,61
2020-04-06,60
2020-04-07,65
