Categoría: Tradiciones paganas y esotéricas

Semana,Geo: Portugal
2018-12-30,72
2019-01-06,62
2019-01-13,56
2019-01-20,61
2019-01-27,70
2019-02-03,67
2019-02-10,68
2019-02-17,65
2019-02-24,62
2019-03-03,62
2019-03-10,54
2019-03-17,60
2019-03-24,67
2019-03-31,63
2019-04-07,60
2019-04-14,64
2019-04-21,75
2019-04-28,68
2019-05-05,68
2019-05-12,69
2019-05-19,69
2019-05-26,60
2019-06-02,66
2019-06-09,72
2019-06-16,71
2019-06-23,69
2019-06-30,59
2019-07-07,67
2019-07-14,69
2019-07-21,73
2019-07-28,71
2019-08-04,73
2019-08-11,74
2019-08-18,71
2019-08-25,72
2019-09-01,73
2019-09-08,70
2019-09-15,69
2019-09-22,69
2019-09-29,73
2019-10-06,71
2019-10-13,73
2019-10-20,77
2019-10-27,100
2019-11-03,68
2019-11-10,73
2019-11-17,68
2019-11-24,70
2019-12-01,65
2019-12-08,66
2019-12-15,76
2019-12-22,62
2019-12-29,77
2020-01-05,69
2020-01-12,71
2020-01-19,63
2020-01-26,70
2020-02-02,74
2020-02-09,70
2020-02-16,66
2020-02-23,67
2020-03-01,65
2020-03-08,63
2020-03-15,54
2020-03-22,60
2020-03-29,63
2020-04-05,67
