Categoría: Islam

Día,Geo: España
2019-12-30,65
2019-12-31,57
2020-01-01,72
2020-01-02,71
2020-01-03,73
2020-01-04,68
2020-01-05,72
2020-01-06,62
2020-01-07,69
2020-01-08,87
2020-01-09,92
2020-01-10,72
2020-01-11,76
2020-01-12,100
2020-01-13,80
2020-01-14,77
2020-01-15,73
2020-01-16,69
2020-01-17,66
2020-01-18,70
2020-01-19,72
2020-01-20,68
2020-01-21,71
2020-01-22,71
2020-01-23,70
2020-01-24,67
2020-01-25,69
2020-01-26,71
2020-01-27,69
2020-01-28,69
2020-01-29,73
2020-01-30,71
2020-01-31,70
2020-02-01,72
2020-02-02,74
2020-02-03,77
2020-02-04,67
2020-02-05,71
2020-02-06,68
2020-02-07,69
2020-02-08,69
2020-02-09,72
2020-02-10,66
2020-02-11,74
2020-02-12,72
2020-02-13,67
2020-02-14,69
2020-02-15,67
2020-02-16,77
2020-02-17,74
2020-02-18,77
2020-02-19,78
2020-02-20,68
2020-02-21,73
2020-02-22,71
2020-02-23,75
2020-02-24,71
2020-02-25,86
2020-02-26,72
2020-02-27,75
2020-02-28,80
2020-02-29,70
2020-03-01,71
2020-03-02,76
2020-03-03,75
2020-03-04,74
2020-03-05,75
2020-03-06,76
2020-03-07,68
2020-03-08,70
2020-03-09,71
2020-03-10,63
2020-03-11,58
2020-03-12,58
2020-03-13,60
2020-03-14,58
2020-03-15,62
2020-03-16,64
2020-03-17,69
2020-03-18,69
2020-03-19,67
2020-03-20,76
2020-03-21,70
2020-03-22,79
2020-03-23,77
2020-03-24,77
2020-03-25,74
2020-03-26,77
2020-03-27,80
2020-03-28,76
2020-03-29,83
2020-03-30,84
2020-03-31,79
2020-04-01,78
2020-04-02,79
2020-04-03,82
2020-04-04,85
2020-04-05,88
2020-04-06,91
2020-04-07,81
