Categoría: Islam

Día,Geo: Luxemburgo
2019-12-30,60
2019-12-31,0
2020-01-01,56
2020-01-02,0
2020-01-03,57
2020-01-04,0
2020-01-05,87
2020-01-06,75
2020-01-07,42
2020-01-08,83
2020-01-09,69
2020-01-10,0
2020-01-11,44
2020-01-12,0
2020-01-13,66
2020-01-14,53
2020-01-15,52
2020-01-16,57
2020-01-17,71
2020-01-18,0
2020-01-19,73
2020-01-20,61
2020-01-21,52
2020-01-22,45
2020-01-23,53
2020-01-24,55
2020-01-25,56
2020-01-26,37
2020-01-27,36
2020-01-28,53
2020-01-29,68
2020-01-30,54
2020-01-31,59
2020-02-01,74
2020-02-02,60
2020-02-03,44
2020-02-04,36
2020-02-05,66
2020-02-06,62
2020-02-07,66
2020-02-08,0
2020-02-09,0
2020-02-10,37
2020-02-11,65
2020-02-12,61
2020-02-13,43
2020-02-14,48
2020-02-15,42
2020-02-16,50
2020-02-17,35
2020-02-18,42
2020-02-19,57
2020-02-20,62
2020-02-21,64
2020-02-22,0
2020-02-23,46
2020-02-24,48
2020-02-25,73
2020-02-26,42
2020-02-27,58
2020-02-28,74
2020-02-29,75
2020-03-01,46
2020-03-02,66
2020-03-03,41
2020-03-04,46
2020-03-05,80
2020-03-06,86
2020-03-07,48
2020-03-08,55
2020-03-09,51
2020-03-10,50
2020-03-11,49
2020-03-12,56
2020-03-13,0
2020-03-14,48
2020-03-15,76
2020-03-16,55
2020-03-17,80
2020-03-18,68
2020-03-19,49
2020-03-20,63
2020-03-21,100
2020-03-22,53
2020-03-23,65
2020-03-24,63
2020-03-25,45
2020-03-26,65
2020-03-27,45
2020-03-28,54
2020-03-29,63
2020-03-30,48
2020-03-31,50
2020-04-01,47
2020-04-02,57
2020-04-03,45
2020-04-04,52
2020-04-05,57
2020-04-06,47
2020-04-07,42
