Categoría: Todas las categorías

Día,Espiritualidad: (Irlanda)
2019-12-30,65
2019-12-31,100
2020-01-01,43
2020-01-02,40
2020-01-03,35
2020-01-04,44
2020-01-05,55
2020-01-06,60
2020-01-07,0
2020-01-08,52
2020-01-09,59
2020-01-10,67
2020-01-11,40
2020-01-12,49
2020-01-13,29
2020-01-14,58
2020-01-15,47
2020-01-16,0
2020-01-17,56
2020-01-18,67
2020-01-19,53
2020-01-20,49
2020-01-21,59
2020-01-22,37
2020-01-23,45
2020-01-24,42
2020-01-25,72
2020-01-26,47
2020-01-27,50
2020-01-28,42
2020-01-29,37
2020-01-30,41
2020-01-31,66
2020-02-01,63
2020-02-02,71
2020-02-03,50
2020-02-04,42
2020-02-05,55
2020-02-06,50
2020-02-07,0
2020-02-08,44
2020-02-09,42
2020-02-10,81
2020-02-11,33
2020-02-12,42
2020-02-13,36
2020-02-14,40
2020-02-15,37
2020-02-16,60
2020-02-17,54
2020-02-18,55
2020-02-19,52
2020-02-20,49
2020-02-21,35
2020-02-22,55
2020-02-23,61
2020-02-24,49
2020-02-25,31
2020-02-26,51
2020-02-27,44
2020-02-28,0
2020-02-29,44
2020-03-01,0
2020-03-02,42
2020-03-03,43
2020-03-04,39
2020-03-05,45
2020-03-06,43
2020-03-07,52
2020-03-08,45
2020-03-09,45
2020-03-10,49
2020-03-11,45
2020-03-12,0
2020-03-13,49
2020-03-14,0
2020-03-15,0
2020-03-16,46
2020-03-17,57
2020-03-18,49
2020-03-19,33
2020-03-20,39
2020-03-21,41
2020-03-22,0
2020-03-23,38
2020-03-24,39
2020-03-25,40
2020-03-26,54
2020-03-27,30
2020-03-28,51
2020-03-29,62
2020-03-30,77
2020-03-31,52
2020-04-01,65
2020-04-02,56
2020-04-03,43
2020-04-04,65
2020-04-05,52
2020-04-06,47
2020-04-07,49
