Categoría: Todas las categorías

Día,Espiritualidad: (Alemania)
2019-12-30,83
2019-12-31,88
2020-01-01,100
2020-01-02,65
2020-01-03,81
2020-01-04,85
2020-01-05,86
2020-01-06,71
2020-01-07,64
2020-01-08,66
2020-01-09,68
2020-01-10,70
2020-01-11,79
2020-01-12,80
2020-01-13,77
2020-01-14,76
2020-01-15,69
2020-01-16,72
2020-01-17,57
2020-01-18,66
2020-01-19,87
2020-01-20,70
2020-01-21,65
2020-01-22,51
2020-01-23,66
2020-01-24,62
2020-01-25,65
2020-01-26,69
2020-01-27,68
2020-01-28,69
2020-01-29,70
2020-01-30,77
2020-01-31,63
2020-02-01,75
2020-02-02,87
2020-02-03,61
2020-02-04,67
2020-02-05,71
2020-02-06,61
2020-02-07,69
2020-02-08,65
2020-02-09,79
2020-02-10,60
2020-02-11,59
2020-02-12,64
2020-02-13,61
2020-02-14,62
2020-02-15,71
2020-02-16,78
2020-02-17,55
2020-02-18,67
2020-02-19,69
2020-02-20,60
2020-02-21,73
2020-02-22,82
2020-02-23,83
2020-02-24,72
2020-02-25,72
2020-02-26,57
2020-02-27,77
2020-02-28,55
2020-02-29,69
2020-03-01,72
2020-03-02,67
2020-03-03,64
2020-03-04,70
2020-03-05,59
2020-03-06,68
2020-03-07,64
2020-03-08,81
2020-03-09,75
2020-03-10,78
2020-03-11,73
2020-03-12,61
2020-03-13,60
2020-03-14,76
2020-03-15,60
2020-03-16,51
2020-03-17,57
2020-03-18,60
2020-03-19,59
2020-03-20,60
2020-03-21,82
2020-03-22,69
2020-03-23,59
2020-03-24,67
2020-03-25,69
2020-03-26,64
2020-03-27,67
2020-03-28,72
2020-03-29,87
2020-03-30,67
2020-03-31,60
2020-04-01,67
2020-04-02,68
2020-04-03,65
2020-04-04,79
2020-04-05,84
2020-04-06,65
2020-04-07,79
