Categoría: Todas las categorías

Día,Espiritualidad: (Bélgica)
2019-12-30,75
2019-12-31,74
2020-01-01,100
2020-01-02,80
2020-01-03,76
2020-01-04,68
2020-01-05,91
2020-01-06,80
2020-01-07,74
2020-01-08,59
2020-01-09,85
2020-01-10,74
2020-01-11,57
2020-01-12,96
2020-01-13,87
2020-01-14,62
2020-01-15,60
2020-01-16,69
2020-01-17,79
2020-01-18,96
2020-01-19,93
2020-01-20,59
2020-01-21,82
2020-01-22,68
2020-01-23,66
2020-01-24,55
2020-01-25,61
2020-01-26,93
2020-01-27,71
2020-01-28,61
2020-01-29,86
2020-01-30,53
2020-01-31,76
2020-02-01,97
2020-02-02,99
2020-02-03,48
2020-02-04,85
2020-02-05,63
2020-02-06,59
2020-02-07,54
2020-02-08,73
2020-02-09,99
2020-02-10,46
2020-02-11,84
2020-02-12,48
2020-02-13,60
2020-02-14,48
2020-02-15,71
2020-02-16,68
2020-02-17,53
2020-02-18,72
2020-02-19,74
2020-02-20,75
2020-02-21,59
2020-02-22,79
2020-02-23,84
2020-02-24,60
2020-02-25,59
2020-02-26,69
2020-02-27,63
2020-02-28,64
2020-02-29,57
2020-03-01,64
2020-03-02,59
2020-03-03,47
2020-03-04,71
2020-03-05,51
2020-03-06,78
2020-03-07,65
2020-03-08,80
2020-03-09,65
2020-03-10,61
2020-03-11,71
2020-03-12,73
2020-03-13,50
2020-03-14,48
2020-03-15,74
2020-03-16,44
2020-03-17,24
2020-03-18,61
2020-03-19,51
2020-03-20,52
2020-03-21,75
2020-03-22,75
2020-03-23,75
2020-03-24,72
2020-03-25,72
2020-03-26,74
2020-03-27,72
2020-03-28,51
2020-03-29,71
2020-03-30,78
2020-03-31,50
2020-04-01,57
2020-04-02,77
2020-04-03,72
2020-04-04,66
2020-04-05,85
2020-04-06,61
2020-04-07,71
