Categoría: Todas las categorías

Día,Espiritualidad: (Reino Unido)
2019-12-30,79
2019-12-31,99
2020-01-01,82
2020-01-02,76
2020-01-03,82
2020-01-04,82
2020-01-05,81
2020-01-06,70
2020-01-07,76
2020-01-08,72
2020-01-09,79
2020-01-10,86
2020-01-11,80
2020-01-12,80
2020-01-13,75
2020-01-14,76
2020-01-15,79
2020-01-16,71
2020-01-17,72
2020-01-18,74
2020-01-19,80
2020-01-20,69
2020-01-21,71
2020-01-22,79
2020-01-23,72
2020-01-24,73
2020-01-25,68
2020-01-26,82
2020-01-27,73
2020-01-28,69
2020-01-29,82
2020-01-30,70
2020-01-31,70
2020-02-01,79
2020-02-02,90
2020-02-03,72
2020-02-04,76
2020-02-05,65
2020-02-06,78
2020-02-07,71
2020-02-08,76
2020-02-09,80
2020-02-10,76
2020-02-11,80
2020-02-12,78
2020-02-13,75
2020-02-14,68
2020-02-15,65
2020-02-16,75
2020-02-17,73
2020-02-18,80
2020-02-19,81
2020-02-20,86
2020-02-21,79
2020-02-22,72
2020-02-23,86
2020-02-24,77
2020-02-25,100
2020-02-26,78
2020-02-27,73
2020-02-28,61
2020-02-29,76
2020-03-01,87
2020-03-02,78
2020-03-03,82
2020-03-04,74
2020-03-05,67
2020-03-06,73
2020-03-07,72
2020-03-08,70
2020-03-09,71
2020-03-10,72
2020-03-11,69
2020-03-12,60
2020-03-13,66
2020-03-14,69
2020-03-15,78
2020-03-16,60
2020-03-17,64
2020-03-18,57
2020-03-19,55
2020-03-20,61
2020-03-21,57
2020-03-22,67
2020-03-23,54
2020-03-24,61
2020-03-25,56
2020-03-26,64
2020-03-27,70
2020-03-28,71
2020-03-29,84
2020-03-30,71
2020-03-31,76
2020-04-01,66
2020-04-02,71
2020-04-03,66
2020-04-04,80
2020-04-05,77
2020-04-06,73
2020-04-07,88
