Categoría: Todas las categorías

Semana,Espiritualidad: (Portugal)
2018-12-30,48
2019-01-06,41
2019-01-13,44
2019-01-20,40
2019-01-27,41
2019-02-03,44
2019-02-10,40
2019-02-17,49
2019-02-24,43
2019-03-03,43
2019-03-10,48
2019-03-17,54
2019-03-24,53
2019-03-31,50
2019-04-07,50
2019-04-14,49
2019-04-21,49
2019-04-28,50
2019-05-05,54
2019-05-12,51
2019-05-19,58
2019-05-26,52
2019-06-02,54
2019-06-09,64
2019-06-16,69
2019-06-23,62
2019-06-30,58
2019-07-07,62
2019-07-14,66
2019-07-21,57
2019-07-28,62
2019-08-04,61
2019-08-11,53
2019-08-18,65
2019-08-25,68
2019-09-01,63
2019-09-08,59
2019-09-15,56
2019-09-22,61
2019-09-29,59
2019-10-06,56
2019-10-13,60
2019-10-20,57
2019-10-27,63
2019-11-03,61
2019-11-10,53
2019-11-17,53
2019-11-24,59
2019-12-01,55
2019-12-08,51
2019-12-15,59
2019-12-22,64
2019-12-29,69
2020-01-05,54
2020-01-12,59
2020-01-19,65
2020-01-26,69
2020-02-02,69
2020-02-09,63
2020-02-16,100
2020-02-23,70
2020-03-01,65
2020-03-08,62
2020-03-15,61
2020-03-22,62
2020-03-29,80
2020-04-05,70
