Categoría: Todas las categorías

Día,Espiritualidad: (Francia)
2019-12-30,66
2019-12-31,70
2020-01-01,95
2020-01-02,70
2020-01-03,76
2020-01-04,69
2020-01-05,73
2020-01-06,65
2020-01-07,56
2020-01-08,53
2020-01-09,65
2020-01-10,69
2020-01-11,62
2020-01-12,76
2020-01-13,60
2020-01-14,65
2020-01-15,67
2020-01-16,65
2020-01-17,63
2020-01-18,66
2020-01-19,62
2020-01-20,78
2020-01-21,58
2020-01-22,67
2020-01-23,65
2020-01-24,64
2020-01-25,63
2020-01-26,69
2020-01-27,61
2020-01-28,55
2020-01-29,65
2020-01-30,53
2020-01-31,55
2020-02-01,58
2020-02-02,72
2020-02-03,61
2020-02-04,62
2020-02-05,61
2020-02-06,63
2020-02-07,61
2020-02-08,70
2020-02-09,68
2020-02-10,65
2020-02-11,56
2020-02-12,51
2020-02-13,55
2020-02-14,59
2020-02-15,67
2020-02-16,74
2020-02-17,65
2020-02-18,64
2020-02-19,68
2020-02-20,54
2020-02-21,67
2020-02-22,68
2020-02-23,76
2020-02-24,58
2020-02-25,54
2020-02-26,57
2020-02-27,61
2020-02-28,56
2020-02-29,59
2020-03-01,75
2020-03-02,57
2020-03-03,61
2020-03-04,57
2020-03-05,56
2020-03-06,62
2020-03-07,60
2020-03-08,69
2020-03-09,71
2020-03-10,66
2020-03-11,55
2020-03-12,51
2020-03-13,59
2020-03-14,62
2020-03-15,63
2020-03-16,47
2020-03-17,56
2020-03-18,64
2020-03-19,67
2020-03-20,61
2020-03-21,81
2020-03-22,93
2020-03-23,65
2020-03-24,69
2020-03-25,59
2020-03-26,75
2020-03-27,64
2020-03-28,76
2020-03-29,100
2020-03-30,68
2020-03-31,77
2020-04-01,74
2020-04-02,77
2020-04-03,69
2020-04-04,79
2020-04-05,91
2020-04-06,64
2020-04-07,80
