date,Religião,isPartial
2018-12-30,83,False
2019-01-06,64,False
2019-01-13,78,False
2019-01-20,63,False
2019-01-27,66,False
2019-02-03,67,False
2019-02-10,58,False
2019-02-17,64,False
2019-02-24,45,False
2019-03-03,45,False
2019-03-10,67,False
2019-03-17,56,False
2019-03-24,63,False
2019-03-31,69,False
2019-04-07,53,False
2019-04-14,59,False
2019-04-21,91,False
2019-04-28,60,False
2019-05-05,59,False
2019-05-12,52,False
2019-05-19,64,False
2019-05-26,57,False
2019-06-02,53,False
2019-06-09,56,False
2019-06-16,48,False
2019-06-23,41,False
2019-06-30,49,False
2019-07-07,38,False
2019-07-14,36,False
2019-07-21,29,False
2019-07-28,27,False
2019-08-04,38,False
2019-08-11,53,False
2019-08-18,26,False
2019-08-25,39,False
2019-09-01,43,False
2019-09-08,47,False
2019-09-15,55,False
2019-09-22,47,False
2019-09-29,45,False
2019-10-06,49,False
2019-10-13,66,False
2019-10-20,77,False
2019-10-27,75,False
2019-11-03,63,False
2019-11-10,67,False
2019-11-17,63,False
2019-11-24,69,False
2019-12-01,80,False
2019-12-08,66,False
2019-12-15,45,False
2019-12-22,66,False
2019-12-29,67,False
2020-01-05,73,False
2020-01-12,71,False
2020-01-19,70,False
2020-01-26,56,False
2020-02-02,67,False
2020-02-09,54,False
2020-02-16,69,False
2020-02-23,75,False
2020-03-01,71,False
2020-03-08,42,False
2020-03-15,80,False
2020-03-22,100,False
2020-03-29,59,False
2020-04-05,87,False
