date,Religion,isPartial
2018-12-30,65,False
2019-01-06,78,False
2019-01-13,89,False
2019-01-20,82,False
2019-01-27,73,False
2019-02-03,73,False
2019-02-10,74,False
2019-02-17,56,False
2019-02-24,80,False
2019-03-03,75,False
2019-03-10,80,False
2019-03-17,91,False
2019-03-24,85,False
2019-03-31,86,False
2019-04-07,82,False
2019-04-14,73,False
2019-04-21,100,False
2019-04-28,85,False
2019-05-05,74,False
2019-05-12,77,False
2019-05-19,69,False
2019-05-26,65,False
2019-06-02,61,False
2019-06-09,74,False
2019-06-16,55,False
2019-06-23,52,False
2019-06-30,51,False
2019-07-07,51,False
2019-07-14,49,False
2019-07-21,49,False
2019-07-28,50,False
2019-08-04,53,False
2019-08-11,54,False
2019-08-18,56,False
2019-08-25,67,False
2019-09-01,94,False
2019-09-08,86,False
2019-09-15,75,False
2019-09-22,74,False
2019-09-29,79,False
2019-10-06,88,False
2019-10-13,98,False
2019-10-20,85,False
2019-10-27,57,False
2019-11-03,90,False
2019-11-10,77,False
2019-11-17,80,False
2019-11-24,79,False
2019-12-01,73,False
2019-12-08,73,False
2019-12-15,74,False
2019-12-22,68,False
2019-12-29,72,False
2020-01-05,89,False
2020-01-12,80,False
2020-01-19,81,False
2020-01-26,76,False
2020-02-02,70,False
2020-02-09,64,False
2020-02-16,54,False
2020-02-23,79,False
2020-03-01,72,False
2020-03-08,61,False
2020-03-15,67,False
2020-03-22,74,False
2020-03-29,79,False
2020-04-05,69,False
