date,Religion,isPartial
2018-12-30,63,False
2019-01-06,68,False
2019-01-13,71,False
2019-01-20,70,False
2019-01-27,64,False
2019-02-03,72,False
2019-02-10,66,False
2019-02-17,66,False
2019-02-24,70,False
2019-03-03,70,False
2019-03-10,67,False
2019-03-17,80,False
2019-03-24,92,False
2019-03-31,71,False
2019-04-07,62,False
2019-04-14,71,False
2019-04-21,100,False
2019-04-28,73,False
2019-05-05,70,False
2019-05-12,74,False
2019-05-19,77,False
2019-05-26,65,False
2019-06-02,63,False
2019-06-09,68,False
2019-06-16,71,False
2019-06-23,67,False
2019-06-30,62,False
2019-07-07,61,False
2019-07-14,64,False
2019-07-21,55,False
2019-07-28,58,False
2019-08-04,49,False
2019-08-11,52,False
2019-08-18,56,False
2019-08-25,58,False
2019-09-01,64,False
2019-09-08,72,False
2019-09-15,72,False
2019-09-22,71,False
2019-09-29,70,False
2019-10-06,74,False
2019-10-13,69,False
2019-10-20,65,False
2019-10-27,66,False
2019-11-03,67,False
2019-11-10,69,False
2019-11-17,71,False
2019-11-24,79,False
2019-12-01,68,False
2019-12-08,70,False
2019-12-15,71,False
2019-12-22,79,False
2019-12-29,73,False
2020-01-05,74,False
2020-01-12,68,False
2020-01-19,65,False
2020-01-26,66,False
2020-02-02,65,False
2020-02-09,67,False
2020-02-16,63,False
2020-02-23,78,False
2020-03-01,69,False
2020-03-08,61,False
2020-03-15,54,False
2020-03-22,63,False
2020-03-29,72,False
2020-04-05,70,False
