date,Religião,isPartial
2019-12-30,0,False
2019-12-31,60,False
2020-01-01,0,False
2020-01-02,0,False
2020-01-03,0,False
2020-01-04,0,False
2020-01-05,56,False
2020-01-06,55,False
2020-01-07,45,False
2020-01-08,0,False
2020-01-09,48,False
2020-01-10,74,False
2020-01-11,0,False
2020-01-12,0,False
2020-01-13,45,False
2020-01-14,54,False
2020-01-15,60,False
2020-01-16,0,False
2020-01-17,0,False
2020-01-18,0,False
2020-01-19,69,False
2020-01-20,62,False
2020-01-21,47,False
2020-01-22,0,False
2020-01-23,0,False
2020-01-24,80,False
2020-01-25,55,False
2020-01-26,0,False
2020-01-27,41,False
2020-01-28,47,False
2020-01-29,0,False
2020-01-30,0,False
2020-01-31,0,False
2020-02-01,61,False
2020-02-02,54,False
2020-02-03,0,False
2020-02-04,0,False
2020-02-05,0,False
2020-02-06,51,False
2020-02-07,0,False
2020-02-08,0,False
2020-02-09,70,False
2020-02-10,0,False
2020-02-11,0,False
2020-02-12,0,False
2020-02-13,57,False
2020-02-14,0,False
2020-02-15,0,False
2020-02-16,98,False
2020-02-17,0,False
2020-02-18,45,False
2020-02-19,53,False
2020-02-20,0,False
2020-02-21,0,False
2020-02-22,62,False
2020-02-23,0,False
2020-02-24,0,False
2020-02-25,48,False
2020-02-26,0,False
2020-02-27,40,False
2020-02-28,100,False
2020-02-29,0,False
2020-03-01,55,False
2020-03-02,39,False
2020-03-03,47,False
2020-03-04,0,False
2020-03-05,49,False
2020-03-06,70,False
2020-03-07,0,False
2020-03-08,0,False
2020-03-09,44,False
2020-03-10,0,False
2020-03-11,0,False
2020-03-12,0,False
2020-03-13,46,False
2020-03-14,0,False
2020-03-15,0,False
2020-03-16,45,False
2020-03-17,0,False
2020-03-18,60,False
2020-03-19,64,False
2020-03-20,45,False
2020-03-21,52,False
2020-03-22,79,False
2020-03-23,43,False
2020-03-24,40,False
2020-03-25,43,False
2020-03-26,58,False
2020-03-27,65,False
2020-03-28,50,False
2020-03-29,0,False
2020-03-30,39,False
2020-03-31,51,False
2020-04-01,39,False
2020-04-02,0,False
2020-04-03,62,False
2020-04-04,0,False
2020-04-05,45,False
2020-04-06,0,False
2020-04-07,47,False
