Categoría: Lugares de culto

Día,Geo: Bélgica
2019-12-30,82
2019-12-31,68
2020-01-01,71
2020-01-02,90
2020-01-03,94
2020-01-04,84
2020-01-05,81
2020-01-06,90
2020-01-07,93
2020-01-08,82
2020-01-09,85
2020-01-10,99
2020-01-11,86
2020-01-12,80
2020-01-13,86
2020-01-14,88
2020-01-15,88
2020-01-16,93
2020-01-17,90
2020-01-18,84
2020-01-19,83
2020-01-20,83
2020-01-21,88
2020-01-22,93
2020-01-23,91
2020-01-24,85
2020-01-25,83
2020-01-26,80
2020-01-27,85
2020-01-28,80
2020-01-29,91
2020-01-30,85
2020-01-31,90
2020-02-01,90
2020-02-02,82
2020-02-03,81
2020-02-04,89
2020-02-05,93
2020-02-06,74
2020-02-07,97
2020-02-08,95
2020-02-09,76
2020-02-10,92
2020-02-11,100
2020-02-12,93
2020-02-13,94
2020-02-14,99
2020-02-15,98
2020-02-16,97
2020-02-17,90
2020-02-18,99
2020-02-19,95
2020-02-20,90
2020-02-21,97
2020-02-22,92
2020-02-23,82
2020-02-24,79
2020-02-25,85
2020-02-26,91
2020-02-27,72
2020-02-28,83
2020-02-29,87
2020-03-01,70
2020-03-02,74
2020-03-03,88
2020-03-04,80
2020-03-05,88
2020-03-06,99
2020-03-07,84
2020-03-08,78
2020-03-09,85
2020-03-10,73
2020-03-11,77
2020-03-12,84
2020-03-13,75
2020-03-14,67
2020-03-15,71
2020-03-16,54
2020-03-17,57
2020-03-18,64
2020-03-19,64
2020-03-20,64
2020-03-21,53
2020-03-22,73
2020-03-23,68
2020-03-24,73
2020-03-25,59
2020-03-26,68
2020-03-27,75
2020-03-28,53
2020-03-29,76
2020-03-30,81
2020-03-31,73
2020-04-01,59
2020-04-02,70
2020-04-03,70
2020-04-04,51
2020-04-05,73
2020-04-06,57
2020-04-07,62
