Categoría: Lugares de culto

Día,Geo: Italia
2019-12-30,68
2019-12-31,69
2020-01-01,72
2020-01-02,67
2020-01-03,64
2020-01-04,74
2020-01-05,70
2020-01-06,57
2020-01-07,54
2020-01-08,50
2020-01-09,50
2020-01-10,47
2020-01-11,54
2020-01-12,60
2020-01-13,51
2020-01-14,55
2020-01-15,50
2020-01-16,47
2020-01-17,51
2020-01-18,71
2020-01-19,61
2020-01-20,54
2020-01-21,52
2020-01-22,53
2020-01-23,48
2020-01-24,49
2020-01-25,60
2020-01-26,60
2020-01-27,48
2020-01-28,44
2020-01-29,48
2020-01-30,48
2020-01-31,51
2020-02-01,62
2020-02-02,67
2020-02-03,54
2020-02-04,51
2020-02-05,45
2020-02-06,50
2020-02-07,52
2020-02-08,59
2020-02-09,59
2020-02-10,52
2020-02-11,86
2020-02-12,61
2020-02-13,54
2020-02-14,56
2020-02-15,64
2020-02-16,74
2020-02-17,56
2020-02-18,51
2020-02-19,50
2020-02-20,58
2020-02-21,46
2020-02-22,50
2020-02-23,54
2020-02-24,50
2020-02-25,41
2020-02-26,45
2020-02-27,40
2020-02-28,44
2020-02-29,49
2020-03-01,63
2020-03-02,60
2020-03-03,48
2020-03-04,41
2020-03-05,44
2020-03-06,45
2020-03-07,53
2020-03-08,47
2020-03-09,40
2020-03-10,41
2020-03-11,38
2020-03-12,42
2020-03-13,44
2020-03-14,47
2020-03-15,51
2020-03-16,45
2020-03-17,44
2020-03-18,43
2020-03-19,41
2020-03-20,42
2020-03-21,43
2020-03-22,54
2020-03-23,42
2020-03-24,41
2020-03-25,46
2020-03-26,40
2020-03-27,60
2020-03-28,100
2020-03-29,82
2020-03-30,43
2020-03-31,46
2020-04-01,43
2020-04-02,45
2020-04-03,43
2020-04-04,42
2020-04-05,50
2020-04-06,40
2020-04-07,41
