Categoría: Lugares de culto

Día,Geo: Austria
2019-12-30,62
2019-12-31,55
2020-01-01,82
2020-01-02,55
2020-01-03,62
2020-01-04,80
2020-01-05,88
2020-01-06,61
2020-01-07,61
2020-01-08,59
2020-01-09,70
2020-01-10,51
2020-01-11,67
2020-01-12,55
2020-01-13,44
2020-01-14,46
2020-01-15,62
2020-01-16,67
2020-01-17,68
2020-01-18,50
2020-01-19,73
2020-01-20,64
2020-01-21,66
2020-01-22,75
2020-01-23,45
2020-01-24,48
2020-01-25,86
2020-01-26,50
2020-01-27,88
2020-01-28,72
2020-01-29,45
2020-01-30,50
2020-01-31,49
2020-02-01,35
2020-02-02,41
2020-02-03,63
2020-02-04,79
2020-02-05,60
2020-02-06,65
2020-02-07,42
2020-02-08,59
2020-02-09,60
2020-02-10,49
2020-02-11,69
2020-02-12,75
2020-02-13,45
2020-02-14,70
2020-02-15,70
2020-02-16,86
2020-02-17,74
2020-02-18,67
2020-02-19,57
2020-02-20,57
2020-02-21,55
2020-02-22,55
2020-02-23,96
2020-02-24,48
2020-02-25,63
2020-02-26,66
2020-02-27,82
2020-02-28,78
2020-02-29,66
2020-03-01,82
2020-03-02,62
2020-03-03,41
2020-03-04,70
2020-03-05,50
2020-03-06,63
2020-03-07,33
2020-03-08,65
2020-03-09,65
2020-03-10,55
2020-03-11,31
2020-03-12,52
2020-03-13,68
2020-03-14,49
2020-03-15,64
2020-03-16,41
2020-03-17,45
2020-03-18,55
2020-03-19,37
2020-03-20,34
2020-03-21,47
2020-03-22,100
2020-03-23,33
2020-03-24,45
2020-03-25,60
2020-03-26,75
2020-03-27,47
2020-03-28,54
2020-03-29,90
2020-03-30,38
2020-03-31,45
2020-04-01,46
2020-04-02,45
2020-04-03,56
2020-04-04,57
2020-04-05,91
2020-04-06,35
2020-04-07,38
