Categoría: Ciencias ocultas y paranormales

Día,Geo: Irlanda
2019-12-30,64
2019-12-31,63
2020-01-01,85
2020-01-02,72
2020-01-03,73
2020-01-04,82
2020-01-05,66
2020-01-06,62
2020-01-07,61
2020-01-08,48
2020-01-09,63
2020-01-10,69
2020-01-11,76
2020-01-12,65
2020-01-13,64
2020-01-14,59
2020-01-15,64
2020-01-16,58
2020-01-17,54
2020-01-18,68
2020-01-19,79
2020-01-20,55
2020-01-21,51
2020-01-22,60
2020-01-23,58
2020-01-24,66
2020-01-25,71
2020-01-26,75
2020-01-27,58
2020-01-28,59
2020-01-29,42
2020-01-30,50
2020-01-31,69
2020-02-01,66
2020-02-02,64
2020-02-03,56
2020-02-04,47
2020-02-05,50
2020-02-06,62
2020-02-07,51
2020-02-08,48
2020-02-09,65
2020-02-10,65
2020-02-11,44
2020-02-12,46
2020-02-13,58
2020-02-14,63
2020-02-15,72
2020-02-16,76
2020-02-17,64
2020-02-18,71
2020-02-19,49
2020-02-20,57
2020-02-21,60
2020-02-22,68
2020-02-23,68
2020-02-24,51
2020-02-25,63
2020-02-26,63
2020-02-27,60
2020-02-28,58
2020-02-29,75
2020-03-01,81
2020-03-02,56
2020-03-03,49
2020-03-04,59
2020-03-05,52
2020-03-06,61
2020-03-07,80
2020-03-08,67
2020-03-09,57
2020-03-10,55
2020-03-11,50
2020-03-12,66
2020-03-13,67
2020-03-14,83
2020-03-15,79
2020-03-16,66
2020-03-17,68
2020-03-18,64
2020-03-19,70
2020-03-20,69
2020-03-21,83
2020-03-22,78
2020-03-23,72
2020-03-24,67
2020-03-25,70
2020-03-26,59
2020-03-27,58
2020-03-28,70
2020-03-29,86
2020-03-30,67
2020-03-31,69
2020-04-01,73
2020-04-02,74
2020-04-03,71
2020-04-04,99
2020-04-05,91
2020-04-06,90
2020-04-07,100
