Categoría: Ciencias ocultas y paranormales

Día,Geo: Suiza
2019-12-30,68
2019-12-31,63
2020-01-01,74
2020-01-02,57
2020-01-03,60
2020-01-04,70
2020-01-05,69
2020-01-06,57
2020-01-07,58
2020-01-08,52
2020-01-09,62
2020-01-10,60
2020-01-11,61
2020-01-12,65
2020-01-13,60
2020-01-14,62
2020-01-15,45
2020-01-16,61
2020-01-17,69
2020-01-18,68
2020-01-19,67
2020-01-20,68
2020-01-21,55
2020-01-22,55
2020-01-23,51
2020-01-24,55
2020-01-25,56
2020-01-26,70
2020-01-27,51
2020-01-28,58
2020-01-29,51
2020-01-30,54
2020-01-31,56
2020-02-01,60
2020-02-02,61
2020-02-03,50
2020-02-04,61
2020-02-05,60
2020-02-06,57
2020-02-07,59
2020-02-08,58
2020-02-09,59
2020-02-10,52
2020-02-11,57
2020-02-12,53
2020-02-13,62
2020-02-14,55
2020-02-15,59
2020-02-16,63
2020-02-17,52
2020-02-18,59
2020-02-19,54
2020-02-20,49
2020-02-21,50
2020-02-22,55
2020-02-23,57
2020-02-24,52
2020-02-25,64
2020-02-26,65
2020-02-27,56
2020-02-28,60
2020-02-29,64
2020-03-01,63
2020-03-02,54
2020-03-03,51
2020-03-04,58
2020-03-05,68
2020-03-06,54
2020-03-07,61
2020-03-08,66
2020-03-09,54
2020-03-10,65
2020-03-11,49
2020-03-12,67
2020-03-13,72
2020-03-14,86
2020-03-15,91
2020-03-16,76
2020-03-17,79
2020-03-18,68
2020-03-19,62
2020-03-20,73
2020-03-21,85
2020-03-22,100
2020-03-23,77
2020-03-24,74
2020-03-25,67
2020-03-26,67
2020-03-27,76
2020-03-28,77
2020-03-29,96
2020-03-30,73
2020-03-31,70
2020-04-01,64
2020-04-02,62
2020-04-03,64
2020-04-04,60
2020-04-05,75
2020-04-06,70
2020-04-07,51
