Categoría: Ciencias ocultas y paranormales

Día,Geo: España
2019-12-30,37
2019-12-31,34
2020-01-01,39
2020-01-02,35
2020-01-03,49
2020-01-04,63
2020-01-05,55
2020-01-06,44
2020-01-07,40
2020-01-08,42
2020-01-09,37
2020-01-10,35
2020-01-11,35
2020-01-12,39
2020-01-13,33
2020-01-14,31
2020-01-15,32
2020-01-16,32
2020-01-17,31
2020-01-18,36
2020-01-19,36
2020-01-20,33
2020-01-21,33
2020-01-22,30
2020-01-23,33
2020-01-24,33
2020-01-25,33
2020-01-26,39
2020-01-27,36
2020-01-28,32
2020-01-29,32
2020-01-30,32
2020-01-31,32
2020-02-01,33
2020-02-02,36
2020-02-03,34
2020-02-04,32
2020-02-05,28
2020-02-06,33
2020-02-07,29
2020-02-08,32
2020-02-09,37
2020-02-10,31
2020-02-11,32
2020-02-12,31
2020-02-13,35
2020-02-14,29
2020-02-15,34
2020-02-16,40
2020-02-17,33
2020-02-18,33
2020-02-19,33
2020-02-20,33
2020-02-21,32
2020-02-22,32
2020-02-23,38
2020-02-24,34
2020-02-25,36
2020-02-26,30
2020-02-27,32
2020-02-28,31
2020-02-29,37
2020-03-01,39
2020-03-02,34
2020-03-03,32
2020-03-04,30
2020-03-05,32
2020-03-06,32
2020-03-07,32
2020-03-08,36
2020-03-09,35
2020-03-10,34
2020-03-11,32
2020-03-12,33
2020-03-13,34
2020-03-14,100
2020-03-15,97
2020-03-16,60
2020-03-17,52
2020-03-18,45
2020-03-19,44
2020-03-20,50
2020-03-21,49
2020-03-22,53
2020-03-23,46
2020-03-24,45
2020-03-25,41
2020-03-26,43
2020-03-27,47
2020-03-28,59
2020-03-29,70
2020-03-30,51
2020-03-31,47
2020-04-01,45
2020-04-02,52
2020-04-03,49
2020-04-04,66
2020-04-05,73
2020-04-06,64
2020-04-07,64
