Categoría: Ciencias ocultas y paranormales

Día,Geo: Francia
2019-12-30,72
2019-12-31,71
2020-01-01,88
2020-01-02,75
2020-01-03,78
2020-01-04,82
2020-01-05,83
2020-01-06,67
2020-01-07,63
2020-01-08,65
2020-01-09,62
2020-01-10,69
2020-01-11,71
2020-01-12,76
2020-01-13,66
2020-01-14,63
2020-01-15,62
2020-01-16,59
2020-01-17,62
2020-01-18,70
2020-01-19,73
2020-01-20,63
2020-01-21,62
2020-01-22,62
2020-01-23,62
2020-01-24,64
2020-01-25,69
2020-01-26,71
2020-01-27,66
2020-01-28,65
2020-01-29,62
2020-01-30,71
2020-01-31,66
2020-02-01,67
2020-02-02,74
2020-02-03,61
2020-02-04,57
2020-02-05,59
2020-02-06,59
2020-02-07,60
2020-02-08,68
2020-02-09,73
2020-02-10,60
2020-02-11,57
2020-02-12,63
2020-02-13,67
2020-02-14,61
2020-02-15,66
2020-02-16,72
2020-02-17,65
2020-02-18,62
2020-02-19,62
2020-02-20,60
2020-02-21,62
2020-02-22,64
2020-02-23,73
2020-02-24,66
2020-02-25,62
2020-02-26,64
2020-02-27,60
2020-02-28,64
2020-02-29,69
2020-03-01,74
2020-03-02,61
2020-03-03,73
2020-03-04,64
2020-03-05,63
2020-03-06,62
2020-03-07,68
2020-03-08,78
2020-03-09,70
2020-03-10,68
2020-03-11,63
2020-03-12,63
2020-03-13,64
2020-03-14,77
2020-03-15,99
2020-03-16,100
2020-03-17,89
2020-03-18,79
2020-03-19,76
2020-03-20,80
2020-03-21,86
2020-03-22,87
2020-03-23,78
2020-03-24,78
2020-03-25,84
2020-03-26,83
2020-03-27,82
2020-03-28,93
2020-03-29,97
2020-03-30,89
2020-03-31,81
2020-04-01,78
2020-04-02,76
2020-04-03,73
2020-04-04,80
2020-04-05,82
2020-04-06,76
2020-04-07,85
