Categoría: Ciencias ocultas y paranormales

Día,Geo: Bélgica
2019-12-30,47
2019-12-31,42
2020-01-01,54
2020-01-02,53
2020-01-03,51
2020-01-04,55
2020-01-05,67
2020-01-06,59
2020-01-07,51
2020-01-08,45
2020-01-09,54
2020-01-10,50
2020-01-11,52
2020-01-12,61
2020-01-13,49
2020-01-14,48
2020-01-15,44
2020-01-16,47
2020-01-17,50
2020-01-18,53
2020-01-19,53
2020-01-20,41
2020-01-21,43
2020-01-22,51
2020-01-23,47
2020-01-24,48
2020-01-25,53
2020-01-26,55
2020-01-27,47
2020-01-28,51
2020-01-29,42
2020-01-30,45
2020-01-31,46
2020-02-01,44
2020-02-02,53
2020-02-03,45
2020-02-04,49
2020-02-05,43
2020-02-06,43
2020-02-07,45
2020-02-08,49
2020-02-09,57
2020-02-10,47
2020-02-11,42
2020-02-12,46
2020-02-13,44
2020-02-14,43
2020-02-15,47
2020-02-16,54
2020-02-17,48
2020-02-18,47
2020-02-19,43
2020-02-20,48
2020-02-21,44
2020-02-22,46
2020-02-23,60
2020-02-24,44
2020-02-25,53
2020-02-26,47
2020-02-27,45
2020-02-28,44
2020-02-29,49
2020-03-01,59
2020-03-02,44
2020-03-03,50
2020-03-04,47
2020-03-05,46
2020-03-06,49
2020-03-07,44
2020-03-08,55
2020-03-09,48
2020-03-10,51
2020-03-11,48
2020-03-12,60
2020-03-13,67
2020-03-14,80
2020-03-15,100
2020-03-16,75
2020-03-17,68
2020-03-18,59
2020-03-19,64
2020-03-20,66
2020-03-21,69
2020-03-22,63
2020-03-23,57
2020-03-24,56
2020-03-25,54
2020-03-26,53
2020-03-27,70
2020-03-28,72
2020-03-29,82
2020-03-30,62
2020-03-31,59
2020-04-01,56
2020-04-02,59
2020-04-03,62
2020-04-04,62
2020-04-05,56
2020-04-06,48
2020-04-07,60
