Categoría: Escépticos y no creyentes

Día,Geo: Austria
2019-12-30,52
2019-12-31,46
2020-01-01,54
2020-01-02,49
2020-01-03,55
2020-01-04,40
2020-01-05,64
2020-01-06,52
2020-01-07,65
2020-01-08,61
2020-01-09,67
2020-01-10,46
2020-01-11,52
2020-01-12,59
2020-01-13,49
2020-01-14,64
2020-01-15,76
2020-01-16,67
2020-01-17,61
2020-01-18,47
2020-01-19,73
2020-01-20,76
2020-01-21,61
2020-01-22,59
2020-01-23,87
2020-01-24,72
2020-01-25,62
2020-01-26,74
2020-01-27,63
2020-01-28,73
2020-01-29,78
2020-01-30,58
2020-01-31,58
2020-02-01,47
2020-02-02,63
2020-02-03,57
2020-02-04,100
2020-02-05,58
2020-02-06,51
2020-02-07,50
2020-02-08,44
2020-02-09,51
2020-02-10,57
2020-02-11,51
2020-02-12,39
2020-02-13,47
2020-02-14,46
2020-02-15,40
2020-02-16,35
2020-02-17,57
2020-02-18,59
2020-02-19,51
2020-02-20,55
2020-02-21,47
2020-02-22,58
2020-02-23,50
2020-02-24,47
2020-02-25,37
2020-02-26,63
2020-02-27,57
2020-02-28,42
2020-02-29,58
2020-03-01,72
2020-03-02,52
2020-03-03,60
2020-03-04,55
2020-03-05,57
2020-03-06,60
2020-03-07,44
2020-03-08,51
2020-03-09,54
2020-03-10,41
2020-03-11,41
2020-03-12,43
2020-03-13,40
2020-03-14,40
2020-03-15,50
2020-03-16,46
2020-03-17,59
2020-03-18,66
2020-03-19,52
2020-03-20,52
2020-03-21,54
2020-03-22,61
2020-03-23,68
2020-03-24,66
2020-03-25,57
2020-03-26,52
2020-03-27,49
2020-03-28,64
2020-03-29,51
2020-03-30,64
2020-03-31,60
2020-04-01,44
2020-04-02,45
2020-04-03,59
2020-04-04,51
2020-04-05,48
2020-04-06,48
2020-04-07,42
