Categoría: Escépticos y no creyentes

Día,Geo: Portugal
2019-12-30,0
2019-12-31,29
2020-01-01,0
2020-01-02,0
2020-01-03,42
2020-01-04,28
2020-01-05,54
2020-01-06,48
2020-01-07,41
2020-01-08,36
2020-01-09,27
2020-01-10,51
2020-01-11,52
2020-01-12,32
2020-01-13,49
2020-01-14,35
2020-01-15,30
2020-01-16,44
2020-01-17,43
2020-01-18,31
2020-01-19,55
2020-01-20,40
2020-01-21,43
2020-01-22,39
2020-01-23,55
2020-01-24,0
2020-01-25,54
2020-01-26,62
2020-01-27,55
2020-01-28,40
2020-01-29,50
2020-01-30,39
2020-01-31,35
2020-02-01,42
2020-02-02,0
2020-02-03,38
2020-02-04,100
2020-02-05,66
2020-02-06,47
2020-02-07,0
2020-02-08,54
2020-02-09,41
2020-02-10,44
2020-02-11,33
2020-02-12,53
2020-02-13,53
2020-02-14,52
2020-02-15,39
2020-02-16,43
2020-02-17,33
2020-02-18,40
2020-02-19,34
2020-02-20,45
2020-02-21,36
2020-02-22,36
2020-02-23,34
2020-02-24,48
2020-02-25,28
2020-02-26,42
2020-02-27,40
2020-02-28,53
2020-02-29,42
2020-03-01,58
2020-03-02,44
2020-03-03,42
2020-03-04,50
2020-03-05,57
2020-03-06,40
2020-03-07,37
2020-03-08,44
2020-03-09,63
2020-03-10,31
2020-03-11,38
2020-03-12,46
2020-03-13,33
2020-03-14,49
2020-03-15,43
2020-03-16,48
2020-03-17,50
2020-03-18,53
2020-03-19,49
2020-03-20,58
2020-03-21,52
2020-03-22,73
2020-03-23,57
2020-03-24,59
2020-03-25,60
2020-03-26,44
2020-03-27,59
2020-03-28,37
2020-03-29,0
2020-03-30,43
2020-03-31,34
2020-04-01,42
2020-04-02,33
2020-04-03,33
2020-04-04,36
2020-04-05,54
2020-04-06,25
2020-04-07,35
