Categoría: Escépticos y no creyentes

Día,Geo: Francia
2019-12-30,36
2019-12-31,34
2020-01-01,45
2020-01-02,39
2020-01-03,41
2020-01-04,43
2020-01-05,60
2020-01-06,49
2020-01-07,45
2020-01-08,44
2020-01-09,43
2020-01-10,40
2020-01-11,41
2020-01-12,47
2020-01-13,45
2020-01-14,42
2020-01-15,43
2020-01-16,42
2020-01-17,41
2020-01-18,43
2020-01-19,46
2020-01-20,44
2020-01-21,40
2020-01-22,49
2020-01-23,43
2020-01-24,39
2020-01-25,42
2020-01-26,78
2020-01-27,49
2020-01-28,46
2020-01-29,47
2020-01-30,45
2020-01-31,41
2020-02-01,41
2020-02-02,48
2020-02-03,52
2020-02-04,100
2020-02-05,74
2020-02-06,43
2020-02-07,40
2020-02-08,38
2020-02-09,48
2020-02-10,64
2020-02-11,44
2020-02-12,57
2020-02-13,45
2020-02-14,42
2020-02-15,37
2020-02-16,43
2020-02-17,42
2020-02-18,39
2020-02-19,40
2020-02-20,38
2020-02-21,42
2020-02-22,37
2020-02-23,40
2020-02-24,42
2020-02-25,43
2020-02-26,41
2020-02-27,42
2020-02-28,37
2020-02-29,43
2020-03-01,46
2020-03-02,54
2020-03-03,44
2020-03-04,42
2020-03-05,42
2020-03-06,45
2020-03-07,46
2020-03-08,45
2020-03-09,46
2020-03-10,49
2020-03-11,45
2020-03-12,40
2020-03-13,34
2020-03-14,36
2020-03-15,38
2020-03-16,38
2020-03-17,41
2020-03-18,44
2020-03-19,47
2020-03-20,48
2020-03-21,44
2020-03-22,51
2020-03-23,51
2020-03-24,52
2020-03-25,55
2020-03-26,55
2020-03-27,48
2020-03-28,48
2020-03-29,51
2020-03-30,57
2020-03-31,56
2020-04-01,50
2020-04-02,53
2020-04-03,54
2020-04-04,44
2020-04-05,47
2020-04-06,49
2020-04-07,53
