Categoría: Escépticos y no creyentes

Semana,Geo: España
2018-12-30,55
2019-01-06,60
2019-01-13,64
2019-01-20,66
2019-01-27,63
2019-02-03,77
2019-02-10,75
2019-02-17,71
2019-02-24,70
2019-03-03,61
2019-03-10,71
2019-03-17,70
2019-03-24,64
2019-03-31,66
2019-04-07,66
2019-04-14,68
2019-04-21,100
2019-04-28,60
2019-05-05,65
2019-05-12,68
2019-05-19,70
2019-05-26,69
2019-06-02,63
2019-06-09,70
2019-06-16,57
2019-06-23,54
2019-06-30,54
2019-07-07,51
2019-07-14,54
2019-07-21,54
2019-07-28,48
2019-08-04,49
2019-08-11,48
2019-08-18,65
2019-08-25,64
2019-09-01,53
2019-09-08,56
2019-09-15,61
2019-09-22,66
2019-09-29,71
2019-10-06,68
2019-10-13,66
2019-10-20,65
2019-10-27,65
2019-11-03,90
2019-11-10,67
2019-11-17,72
2019-11-24,68
2019-12-01,73
2019-12-08,61
2019-12-15,60
2019-12-22,62
2019-12-29,57
2020-01-05,65
2020-01-12,68
2020-01-19,66
2020-01-26,67
2020-02-02,66
2020-02-09,66
2020-02-16,70
2020-02-23,64
2020-03-01,73
2020-03-08,63
2020-03-15,82
2020-03-22,95
2020-03-29,94
2020-04-05,89
