Categoría: Todas las categorías

Día,Religión: (Italia)
2019-12-30,49
2019-12-31,67
2020-01-01,62
2020-01-02,56
2020-01-03,62
2020-01-04,61
2020-01-05,76
2020-01-06,100
2020-01-07,67
2020-01-08,58
2020-01-09,55
2020-01-10,50
2020-01-11,53
2020-01-12,57
2020-01-13,59
2020-01-14,60
2020-01-15,60
2020-01-16,59
2020-01-17,51
2020-01-18,53
2020-01-19,54
2020-01-20,61
2020-01-21,54
2020-01-22,56
2020-01-23,54
2020-01-24,52
2020-01-25,50
2020-01-26,54
2020-01-27,53
2020-01-28,49
2020-01-29,58
2020-01-30,54
2020-01-31,50
2020-02-01,54
2020-02-02,51
2020-02-03,58
2020-02-04,53
2020-02-05,53
2020-02-06,58
2020-02-07,50
2020-02-08,43
2020-02-09,47
2020-02-10,48
2020-02-11,51
2020-02-12,51
2020-02-13,54
2020-02-14,47
2020-02-15,53
2020-02-16,58
2020-02-17,56
2020-02-18,49
2020-02-19,54
2020-02-20,52
2020-02-21,47
2020-02-22,45
2020-02-23,49
2020-02-24,42
2020-02-25,46
2020-02-26,48
2020-02-27,48
2020-02-28,45
2020-02-29,50
2020-03-01,55
2020-03-02,51
2020-03-03,53
2020-03-04,49
2020-03-05,47
2020-03-06,46
2020-03-07,50
2020-03-08,60
2020-03-09,48
2020-03-10,52
2020-03-11,52
2020-03-12,54
2020-03-13,55
2020-03-14,56
2020-03-15,61
2020-03-16,64
2020-03-17,61
2020-03-18,65
2020-03-19,64
2020-03-20,65
2020-03-21,62
2020-03-22,62
2020-03-23,72
2020-03-24,63
2020-03-25,71
2020-03-26,63
2020-03-27,81
2020-03-28,67
2020-03-29,81
2020-03-30,68
2020-03-31,77
2020-04-01,69
2020-04-02,73
2020-04-03,72
2020-04-04,66
2020-04-05,88
2020-04-06,71
2020-04-07,77
