Categoría: Todas las categorías

Día,Religión: (Portugal)
2019-12-30,41
2019-12-31,53
2020-01-01,60
2020-01-02,52
2020-01-03,54
2020-01-04,52
2020-01-05,48
2020-01-06,56
2020-01-07,49
2020-01-08,60
2020-01-09,43
2020-01-10,50
2020-01-11,55
2020-01-12,65
2020-01-13,57
2020-01-14,58
2020-01-15,57
2020-01-16,38
2020-01-17,41
2020-01-18,43
2020-01-19,59
2020-01-20,41
2020-01-21,64
2020-01-22,47
2020-01-23,50
2020-01-24,55
2020-01-25,49
2020-01-26,49
2020-01-27,41
2020-01-28,54
2020-01-29,65
2020-01-30,62
2020-01-31,50
2020-02-01,49
2020-02-02,55
2020-02-03,64
2020-02-04,51
2020-02-05,52
2020-02-06,50
2020-02-07,48
2020-02-08,43
2020-02-09,63
2020-02-10,47
2020-02-11,53
2020-02-12,50
2020-02-13,40
2020-02-14,33
2020-02-15,49
2020-02-16,44
2020-02-17,54
2020-02-18,59
2020-02-19,52
2020-02-20,50
2020-02-21,72
2020-02-22,43
2020-02-23,36
2020-02-24,38
2020-02-25,54
2020-02-26,50
2020-02-27,40
2020-02-28,100
2020-02-29,57
2020-03-01,71
2020-03-02,50
2020-03-03,62
2020-03-04,58
2020-03-05,71
2020-03-06,65
2020-03-07,31
2020-03-08,57
2020-03-09,45
2020-03-10,47
2020-03-11,31
2020-03-12,38
2020-03-13,48
2020-03-14,29
2020-03-15,36
2020-03-16,45
2020-03-17,51
2020-03-18,58
2020-03-19,56
2020-03-20,70
2020-03-21,77
2020-03-22,72
2020-03-23,65
2020-03-24,64
2020-03-25,65
2020-03-26,69
2020-03-27,53
2020-03-28,54
2020-03-29,43
2020-03-30,50
2020-03-31,53
2020-04-01,49
2020-04-02,41
2020-04-03,35
2020-04-04,51
2020-04-05,54
2020-04-06,43
2020-04-07,53
