Categoría: Todas las categorías

Día,Religión: (Bélgica)
2019-12-30,43
2019-12-31,46
2020-01-01,57
2020-01-02,47
2020-01-03,61
2020-01-04,56
2020-01-05,68
2020-01-06,73
2020-01-07,64
2020-01-08,62
2020-01-09,66
2020-01-10,70
2020-01-11,58
2020-01-12,79
2020-01-13,83
2020-01-14,75
2020-01-15,80
2020-01-16,72
2020-01-17,50
2020-01-18,80
2020-01-19,86
2020-01-20,65
2020-01-21,55
2020-01-22,68
2020-01-23,78
2020-01-24,60
2020-01-25,49
2020-01-26,65
2020-01-27,62
2020-01-28,74
2020-01-29,58
2020-01-30,68
2020-01-31,58
2020-02-01,62
2020-02-02,69
2020-02-03,100
2020-02-04,64
2020-02-05,57
2020-02-06,70
2020-02-07,65
2020-02-08,46
2020-02-09,68
2020-02-10,75
2020-02-11,66
2020-02-12,51
2020-02-13,68
2020-02-14,64
2020-02-15,58
2020-02-16,60
2020-02-17,70
2020-02-18,54
2020-02-19,69
2020-02-20,68
2020-02-21,58
2020-02-22,56
2020-02-23,56
2020-02-24,57
2020-02-25,54
2020-02-26,51
2020-02-27,55
2020-02-28,51
2020-02-29,49
2020-03-01,76
2020-03-02,69
2020-03-03,71
2020-03-04,62
2020-03-05,49
2020-03-06,55
2020-03-07,54
2020-03-08,61
2020-03-09,61
2020-03-10,52
2020-03-11,60
2020-03-12,54
2020-03-13,37
2020-03-14,49
2020-03-15,48
2020-03-16,54
2020-03-17,57
2020-03-18,44
2020-03-19,59
2020-03-20,64
2020-03-21,65
2020-03-22,58
2020-03-23,64
2020-03-24,65
2020-03-25,74
2020-03-26,71
2020-03-27,76
2020-03-28,79
2020-03-29,73
2020-03-30,68
2020-03-31,70
2020-04-01,57
2020-04-02,82
2020-04-03,56
2020-04-04,67
2020-04-05,67
2020-04-06,44
2020-04-07,58
