Categoría: Todas las categorías

Día,Religión: (Alemania)
2019-12-30,63
2019-12-31,86
2020-01-01,79
2020-01-02,72
2020-01-03,79
2020-01-04,77
2020-01-05,80
2020-01-06,85
2020-01-07,92
2020-01-08,92
2020-01-09,99
2020-01-10,81
2020-01-11,85
2020-01-12,100
2020-01-13,85
2020-01-14,95
2020-01-15,87
2020-01-16,88
2020-01-17,79
2020-01-18,80
2020-01-19,97
2020-01-20,79
2020-01-21,89
2020-01-22,88
2020-01-23,85
2020-01-24,78
2020-01-25,70
2020-01-26,89
2020-01-27,87
2020-01-28,82
2020-01-29,89
2020-01-30,88
2020-01-31,68
2020-02-01,75
2020-02-02,83
2020-02-03,75
2020-02-04,82
2020-02-05,81
2020-02-06,80
2020-02-07,68
2020-02-08,68
2020-02-09,71
2020-02-10,65
2020-02-11,74
2020-02-12,85
2020-02-13,73
2020-02-14,70
2020-02-15,60
2020-02-16,81
2020-02-17,74
2020-02-18,79
2020-02-19,79
2020-02-20,81
2020-02-21,80
2020-02-22,77
2020-02-23,80
2020-02-24,80
2020-02-25,79
2020-02-26,82
2020-02-27,89
2020-02-28,68
2020-02-29,72
2020-03-01,85
2020-03-02,83
2020-03-03,89
2020-03-04,86
2020-03-05,75
2020-03-06,75
2020-03-07,72
2020-03-08,85
2020-03-09,83
2020-03-10,78
2020-03-11,77
2020-03-12,66
2020-03-13,52
2020-03-14,61
2020-03-15,56
2020-03-16,50
2020-03-17,61
2020-03-18,74
2020-03-19,82
2020-03-20,81
2020-03-21,78
2020-03-22,74
2020-03-23,80
2020-03-24,78
2020-03-25,83
2020-03-26,82
2020-03-27,81
2020-03-28,73
2020-03-29,90
2020-03-30,77
2020-03-31,77
2020-04-01,74
2020-04-02,77
2020-04-03,77
2020-04-04,77
2020-04-05,80
2020-04-06,75
2020-04-07,74
