Categoría: Todas las categorías

Día,Religión: (Austria)
2019-12-30,54
2019-12-31,83
2020-01-01,66
2020-01-02,67
2020-01-03,68
2020-01-04,61
2020-01-05,87
2020-01-06,70
2020-01-07,72
2020-01-08,74
2020-01-09,69
2020-01-10,65
2020-01-11,71
2020-01-12,63
2020-01-13,52
2020-01-14,79
2020-01-15,77
2020-01-16,85
2020-01-17,69
2020-01-18,77
2020-01-19,69
2020-01-20,49
2020-01-21,69
2020-01-22,71
2020-01-23,74
2020-01-24,80
2020-01-25,76
2020-01-26,63
2020-01-27,58
2020-01-28,81
2020-01-29,80
2020-01-30,77
2020-01-31,62
2020-02-01,65
2020-02-02,70
2020-02-03,77
2020-02-04,46
2020-02-05,60
2020-02-06,59
2020-02-07,46
2020-02-08,74
2020-02-09,64
2020-02-10,57
2020-02-11,73
2020-02-12,78
2020-02-13,69
2020-02-14,55
2020-02-15,57
2020-02-16,71
2020-02-17,64
2020-02-18,70
2020-02-19,60
2020-02-20,63
2020-02-21,58
2020-02-22,61
2020-02-23,71
2020-02-24,78
2020-02-25,48
2020-02-26,86
2020-02-27,59
2020-02-28,52
2020-02-29,66
2020-03-01,71
2020-03-02,48
2020-03-03,66
2020-03-04,74
2020-03-05,98
2020-03-06,76
2020-03-07,69
2020-03-08,64
2020-03-09,57
2020-03-10,62
2020-03-11,55
2020-03-12,49
2020-03-13,53
2020-03-14,46
2020-03-15,60
2020-03-16,48
2020-03-17,77
2020-03-18,62
2020-03-19,75
2020-03-20,72
2020-03-21,71
2020-03-22,81
2020-03-23,67
2020-03-24,89
2020-03-25,85
2020-03-26,85
2020-03-27,100
2020-03-28,60
2020-03-29,85
2020-03-30,76
2020-03-31,83
2020-04-01,89
2020-04-02,71
2020-04-03,78
2020-04-04,62
2020-04-05,80
2020-04-06,71
2020-04-07,57
