Categoría: Todas las categorías

Día,Religión: (Francia)
2019-12-30,62
2019-12-31,65
2020-01-01,71
2020-01-02,61
2020-01-03,68
2020-01-04,75
2020-01-05,80
2020-01-06,64
2020-01-07,64
2020-01-08,61
2020-01-09,62
2020-01-10,58
2020-01-11,64
2020-01-12,68
2020-01-13,61
2020-01-14,61
2020-01-15,60
2020-01-16,58
2020-01-17,56
2020-01-18,65
2020-01-19,75
2020-01-20,59
2020-01-21,55
2020-01-22,61
2020-01-23,61
2020-01-24,59
2020-01-25,61
2020-01-26,77
2020-01-27,65
2020-01-28,63
2020-01-29,64
2020-01-30,72
2020-01-31,58
2020-02-01,62
2020-02-02,82
2020-02-03,67
2020-02-04,69
2020-02-05,64
2020-02-06,61
2020-02-07,53
2020-02-08,75
2020-02-09,69
2020-02-10,59
2020-02-11,57
2020-02-12,58
2020-02-13,63
2020-02-14,55
2020-02-15,61
2020-02-16,65
2020-02-17,56
2020-02-18,51
2020-02-19,61
2020-02-20,58
2020-02-21,58
2020-02-22,58
2020-02-23,69
2020-02-24,58
2020-02-25,58
2020-02-26,57
2020-02-27,57
2020-02-28,57
2020-02-29,59
2020-03-01,64
2020-03-02,53
2020-03-03,60
2020-03-04,59
2020-03-05,62
2020-03-06,57
2020-03-07,66
2020-03-08,65
2020-03-09,59
2020-03-10,63
2020-03-11,54
2020-03-12,50
2020-03-13,52
2020-03-14,57
2020-03-15,54
2020-03-16,46
2020-03-17,54
2020-03-18,67
2020-03-19,78
2020-03-20,72
2020-03-21,68
2020-03-22,72
2020-03-23,80
2020-03-24,77
2020-03-25,72
2020-03-26,80
2020-03-27,66
2020-03-28,67
2020-03-29,84
2020-03-30,76
2020-03-31,73
2020-04-01,67
2020-04-02,73
2020-04-03,69
2020-04-04,91
2020-04-05,100
2020-04-06,77
2020-04-07,70
