Categoría: Todas las categorías

Día,Religión: (Suiza)
2019-12-30,60
2019-12-31,48
2020-01-01,71
2020-01-02,70
2020-01-03,65
2020-01-04,77
2020-01-05,100
2020-01-06,83
2020-01-07,73
2020-01-08,72
2020-01-09,67
2020-01-10,52
2020-01-11,55
2020-01-12,63
2020-01-13,66
2020-01-14,64
2020-01-15,61
2020-01-16,63
2020-01-17,66
2020-01-18,77
2020-01-19,79
2020-01-20,46
2020-01-21,67
2020-01-22,68
2020-01-23,58
2020-01-24,65
2020-01-25,54
2020-01-26,57
2020-01-27,66
2020-01-28,57
2020-01-29,52
2020-01-30,81
2020-01-31,59
2020-02-01,41
2020-02-02,84
2020-02-03,62
2020-02-04,70
2020-02-05,45
2020-02-06,62
2020-02-07,52
2020-02-08,56
2020-02-09,65
2020-02-10,51
2020-02-11,44
2020-02-12,54
2020-02-13,82
2020-02-14,62
2020-02-15,52
2020-02-16,72
2020-02-17,52
2020-02-18,67
2020-02-19,73
2020-02-20,52
2020-02-21,63
2020-02-22,65
2020-02-23,76
2020-02-24,50
2020-02-25,47
2020-02-26,45
2020-02-27,46
2020-02-28,49
2020-02-29,70
2020-03-01,90
2020-03-02,46
2020-03-03,59
2020-03-04,55
2020-03-05,67
2020-03-06,53
2020-03-07,54
2020-03-08,79
2020-03-09,74
2020-03-10,50
2020-03-11,54
2020-03-12,59
2020-03-13,47
2020-03-14,60
2020-03-15,51
2020-03-16,32
2020-03-17,36
2020-03-18,39
2020-03-19,62
2020-03-20,64
2020-03-21,61
2020-03-22,57
2020-03-23,59
2020-03-24,71
2020-03-25,60
2020-03-26,75
2020-03-27,63
2020-03-28,60
2020-03-29,72
2020-03-30,65
2020-03-31,52
2020-04-01,58
2020-04-02,67
2020-04-03,79
2020-04-04,50
2020-04-05,80
2020-04-06,60
2020-04-07,71
