Categoría: Todas las categorías

Día,Religión: (Reino Unido)
2019-12-30,71
2019-12-31,71
2020-01-01,65
2020-01-02,98
2020-01-03,87
2020-01-04,89
2020-01-05,93
2020-01-06,94
2020-01-07,86
2020-01-08,94
2020-01-09,97
2020-01-10,79
2020-01-11,68
2020-01-12,98
2020-01-13,86
2020-01-14,85
2020-01-15,85
2020-01-16,88
2020-01-17,76
2020-01-18,66
2020-01-19,80
2020-01-20,82
2020-01-21,82
2020-01-22,84
2020-01-23,87
2020-01-24,86
2020-01-25,69
2020-01-26,86
2020-01-27,88
2020-01-28,87
2020-01-29,87
2020-01-30,84
2020-01-31,67
2020-02-01,68
2020-02-02,81
2020-02-03,87
2020-02-04,88
2020-02-05,100
2020-02-06,95
2020-02-07,78
2020-02-08,65
2020-02-09,90
2020-02-10,83
2020-02-11,84
2020-02-12,90
2020-02-13,80
2020-02-14,64
2020-02-15,60
2020-02-16,76
2020-02-17,62
2020-02-18,72
2020-02-19,71
2020-02-20,72
2020-02-21,76
2020-02-22,78
2020-02-23,96
2020-02-24,86
2020-02-25,92
2020-02-26,85
2020-02-27,88
2020-02-28,81
2020-02-29,76
2020-03-01,90
2020-03-02,91
2020-03-03,88
2020-03-04,83
2020-03-05,82
2020-03-06,75
2020-03-07,63
2020-03-08,85
2020-03-09,86
2020-03-10,87
2020-03-11,84
2020-03-12,72
2020-03-13,58
2020-03-14,76
2020-03-15,79
2020-03-16,68
2020-03-17,75
2020-03-18,76
2020-03-19,63
2020-03-20,61
2020-03-21,56
2020-03-22,60
2020-03-23,87
2020-03-24,87
2020-03-25,88
2020-03-26,87
2020-03-27,96
2020-03-28,65
2020-03-29,85
2020-03-30,99
2020-03-31,100
2020-04-01,98
2020-04-02,97
2020-04-03,89
2020-04-04,75
2020-04-05,82
2020-04-06,79
2020-04-07,77
