Categoría: Astrología y predicciones

Día,Geo: Portugal
2018-12-30,69
2018-12-31,77
2019-01-01,100
2019-01-02,90
2019-01-03,72
2019-01-04,63
2019-01-05,60
2019-01-06,66
2019-01-07,55
2019-01-08,55
2019-01-09,54
2019-01-10,53
2019-01-11,52
2019-01-12,54
2019-01-13,51
2019-01-14,53
2019-01-15,55
2019-01-16,50
2019-01-17,50
2019-01-18,52
2019-01-19,50
2019-01-20,61
2019-01-21,60
2019-01-22,50
2019-01-23,55
2019-01-24,53
2019-01-25,47
2019-01-26,45
2019-01-27,56
2019-01-28,52
2019-01-29,46
2019-01-30,53
2019-01-31,51
2019-02-01,57
2019-02-02,49
2019-02-03,54
2019-02-04,55
2019-02-05,77
2019-02-06,54
2019-02-07,52
2019-02-08,51
2019-02-09,57
2019-02-10,59
2019-02-11,55
2019-02-12,51
2019-02-13,49
2019-02-14,45
2019-02-15,54
2019-02-16,46
2019-02-17,57
2019-02-18,59
2019-02-19,61
2019-02-20,52
2019-02-21,48
2019-02-22,50
2019-02-23,53
2019-02-24,48
2019-02-25,48
2019-02-26,50
2019-02-27,49
2019-02-28,47
2019-03-01,50
2019-03-02,43
2019-03-03,55
2019-03-04,51
2019-03-05,44
2019-03-06,51
2019-03-07,50
2019-03-08,45
2019-03-09,50
2019-03-10,54
2019-03-11,48
2019-03-12,51
2019-03-13,51
2019-03-14,48
2019-03-15,48
2019-03-16,43
2019-03-17,56
2019-03-18,53
2019-03-19,50
2019-03-20,54
2019-03-21,52
2019-03-22,45
2019-03-23,49
2019-03-24,55
2019-03-25,51
2019-03-26,51
2019-03-27,56
2019-03-28,50
2019-03-29,50
2019-03-30,49
2019-03-31,60
2019-04-01,55
2019-04-02,52
2019-04-03,53
2019-04-04,53
2019-04-05,50
2019-04-06,48
2019-04-07,51
2019-04-08,48
2019-04-09,44
2019-04-10,48
