Categoría: Astrología y predicciones

Semana,Geo: Italia
2018-12-30,100
2019-01-06,73
2019-01-13,67
2019-01-20,69
2019-01-27,72
2019-02-03,68
2019-02-10,68
2019-02-17,66
2019-02-24,64
2019-03-03,61
2019-03-10,66
2019-03-17,66
2019-03-24,66
2019-03-31,66
2019-04-07,62
2019-04-14,65
2019-04-21,58
2019-04-28,62
2019-05-05,64
2019-05-12,67
2019-05-19,67
2019-05-26,65
2019-06-02,63
2019-06-09,63
2019-06-16,66
2019-06-23,64
2019-06-30,62
2019-07-07,61
2019-07-14,63
2019-07-21,65
2019-07-28,63
2019-08-04,59
2019-08-11,56
2019-08-18,57
2019-08-25,60
2019-09-01,61
2019-09-08,60
2019-09-15,58
2019-09-22,58
2019-09-29,61
2019-10-06,60
2019-10-13,58
2019-10-20,61
2019-10-27,59
2019-11-03,64
2019-11-10,60
2019-11-17,64
2019-11-24,60
2019-12-01,61
2019-12-08,63
2019-12-15,65
2019-12-22,72
2019-12-29,91
2020-01-05,65
2020-01-12,62
2020-01-19,62
2020-01-26,62
2020-02-02,61
2020-02-09,59
2020-02-16,61
2020-02-23,59
2020-03-01,55
2020-03-08,45
2020-03-15,43
2020-03-22,43
2020-03-29,45
2020-04-05,43
