Categoría: Astrología y predicciones

Semana,Geo: Suiza
2018-12-30,100
2019-01-06,84
2019-01-13,82
2019-01-20,77
2019-01-27,77
2019-02-03,79
2019-02-10,73
2019-02-17,77
2019-02-24,74
2019-03-03,76
2019-03-10,72
2019-03-17,75
2019-03-24,72
2019-03-31,74
2019-04-07,73
2019-04-14,64
2019-04-21,64
2019-04-28,75
2019-05-05,75
2019-05-12,72
2019-05-19,71
2019-05-26,63
2019-06-02,69
2019-06-09,70
2019-06-16,72
2019-06-23,64
2019-06-30,67
2019-07-07,66
2019-07-14,63
2019-07-21,64
2019-07-28,59
2019-08-04,60
2019-08-11,68
2019-08-18,71
2019-08-25,71
2019-09-01,71
2019-09-08,68
2019-09-15,69
2019-09-22,68
2019-09-29,69
2019-10-06,67
2019-10-13,69
2019-10-20,71
2019-10-27,74
2019-11-03,73
2019-11-10,73
2019-11-17,74
2019-11-24,72
2019-12-01,73
2019-12-08,77
2019-12-15,79
2019-12-22,78
2019-12-29,95
2020-01-05,87
2020-01-12,83
2020-01-19,83
2020-01-26,79
2020-02-02,72
2020-02-09,68
2020-02-16,74
2020-02-23,69
2020-03-01,71
2020-03-08,65
2020-03-15,59
2020-03-22,67
2020-03-29,68
2020-04-05,64
