Categoría: Astrología y predicciones

Semana,Geo: España
2018-12-30,92
2019-01-06,72
2019-01-13,70
2019-01-20,72
2019-01-27,73
2019-02-03,78
2019-02-10,76
2019-02-17,74
2019-02-24,72
2019-03-03,72
2019-03-10,68
2019-03-17,73
2019-03-24,72
2019-03-31,74
2019-04-07,77
2019-04-14,66
2019-04-21,69
2019-04-28,69
2019-05-05,73
2019-05-12,71
2019-05-19,74
2019-05-26,73
2019-06-02,73
2019-06-09,76
2019-06-16,75
2019-06-23,72
2019-06-30,75
2019-07-07,73
2019-07-14,77
2019-07-21,76
2019-07-28,79
2019-08-04,76
2019-08-11,73
2019-08-18,74
2019-08-25,72
2019-09-01,71
2019-09-08,69
2019-09-15,69
2019-09-22,70
2019-09-29,75
2019-10-06,72
2019-10-13,71
2019-10-20,76
2019-10-27,83
2019-11-03,77
2019-11-10,75
2019-11-17,80
2019-11-24,71
2019-12-01,77
2019-12-08,70
2019-12-15,80
2019-12-22,84
2019-12-29,100
2020-01-05,82
2020-01-12,83
2020-01-19,84
2020-01-26,78
2020-02-02,83
2020-02-09,77
2020-02-16,79
2020-02-23,77
2020-03-01,76
2020-03-08,65
2020-03-15,61
2020-03-22,68
2020-03-29,71
2020-04-05,71
