Categoría: Astrología y predicciones

Semana,Geo: Irlanda
2018-12-30,99
2019-01-06,81
2019-01-13,81
2019-01-20,78
2019-01-27,78
2019-02-03,92
2019-02-10,81
2019-02-17,77
2019-02-24,72
2019-03-03,75
2019-03-10,79
2019-03-17,77
2019-03-24,75
2019-03-31,83
2019-04-07,72
2019-04-14,76
2019-04-21,74
2019-04-28,77
2019-05-05,71
2019-05-12,74
2019-05-19,81
2019-05-26,77
2019-06-02,74
2019-06-09,81
2019-06-16,84
2019-06-23,73
2019-06-30,86
2019-07-07,78
2019-07-14,84
2019-07-21,82
2019-07-28,91
2019-08-04,82
2019-08-11,79
2019-08-18,76
2019-08-25,72
2019-09-01,69
2019-09-08,77
2019-09-15,74
2019-09-22,71
2019-09-29,78
2019-10-06,78
2019-10-13,68
2019-10-20,71
2019-10-27,68
2019-11-03,82
2019-11-10,90
2019-11-17,73
2019-11-24,81
2019-12-01,74
2019-12-08,76
2019-12-15,86
2019-12-22,78
2019-12-29,100
2020-01-05,80
2020-01-12,83
2020-01-19,95
2020-01-26,88
2020-02-02,87
2020-02-09,85
2020-02-16,82
2020-02-23,77
2020-03-01,74
2020-03-08,70
2020-03-15,66
2020-03-22,65
2020-03-29,69
2020-04-05,74
