Categoría: Astrología y predicciones

Semana,Geo: Luxemburgo
2018-12-30,90
2019-01-06,89
2019-01-13,92
2019-01-20,86
2019-01-27,81
2019-02-03,86
2019-02-10,78
2019-02-17,76
2019-02-24,83
2019-03-03,74
2019-03-10,72
2019-03-17,81
2019-03-24,82
2019-03-31,80
2019-04-07,65
2019-04-14,81
2019-04-21,79
2019-04-28,73
2019-05-05,74
2019-05-12,74
2019-05-19,76
2019-05-26,65
2019-06-02,73
2019-06-09,75
2019-06-16,74
2019-06-23,70
2019-06-30,89
2019-07-07,79
2019-07-14,70
2019-07-21,68
2019-07-28,62
2019-08-04,59
2019-08-11,59
2019-08-18,62
2019-08-25,67
2019-09-01,63
2019-09-08,75
2019-09-15,71
2019-09-22,65
2019-09-29,82
2019-10-06,69
2019-10-13,85
2019-10-20,80
2019-10-27,71
2019-11-03,72
2019-11-10,75
2019-11-17,83
2019-11-24,82
2019-12-01,77
2019-12-08,81
2019-12-15,87
2019-12-22,78
2019-12-29,100
2020-01-05,98
2020-01-12,100
2020-01-19,97
2020-01-26,95
2020-02-02,77
2020-02-09,74
2020-02-16,80
2020-02-23,78
2020-03-01,77
2020-03-08,75
2020-03-15,61
2020-03-22,74
2020-03-29,72
2020-04-05,60
