Categoría: Astrología y predicciones

Día,Geo: Bélgica
2019-12-30,73
2019-12-31,68
2020-01-01,100
2020-01-02,84
2020-01-03,76
2020-01-04,76
2020-01-05,79
2020-01-06,68
2020-01-07,60
2020-01-08,64
2020-01-09,68
2020-01-10,70
2020-01-11,73
2020-01-12,79
2020-01-13,68
2020-01-14,67
2020-01-15,69
2020-01-16,65
2020-01-17,61
2020-01-18,70
2020-01-19,77
2020-01-20,75
2020-01-21,68
2020-01-22,73
2020-01-23,68
2020-01-24,77
2020-01-25,93
2020-01-26,83
2020-01-27,73
2020-01-28,65
2020-01-29,59
2020-01-30,59
2020-01-31,59
2020-02-01,61
2020-02-02,74
2020-02-03,67
2020-02-04,59
2020-02-05,56
2020-02-06,56
2020-02-07,58
2020-02-08,66
2020-02-09,67
2020-02-10,59
2020-02-11,56
2020-02-12,58
2020-02-13,59
2020-02-14,57
2020-02-15,58
2020-02-16,69
2020-02-17,60
2020-02-18,58
2020-02-19,62
2020-02-20,56
2020-02-21,54
2020-02-22,68
2020-02-23,74
2020-02-24,66
2020-02-25,57
2020-02-26,54
2020-02-27,56
2020-02-28,63
2020-02-29,60
2020-03-01,69
2020-03-02,61
2020-03-03,56
2020-03-04,60
2020-03-05,51
2020-03-06,53
2020-03-07,56
2020-03-08,69
2020-03-09,56
2020-03-10,53
2020-03-11,49
2020-03-12,49
2020-03-13,46
2020-03-14,56
2020-03-15,60
2020-03-16,50
2020-03-17,46
2020-03-18,42
2020-03-19,48
2020-03-20,55
2020-03-21,58
2020-03-22,67
2020-03-23,54
2020-03-24,54
2020-03-25,50
2020-03-26,57
2020-03-27,51
2020-03-28,59
2020-03-29,66
2020-03-30,53
2020-03-31,57
2020-04-01,52
2020-04-02,64
2020-04-03,52
2020-04-04,61
2020-04-05,55
2020-04-06,52
2020-04-07,59
