Categoría: Astrología y predicciones

Día,Geo: Portugal
2019-12-30,84
2019-12-31,77
2020-01-01,100
2020-01-02,96
2020-01-03,86
2020-01-04,69
2020-01-05,73
2020-01-06,71
2020-01-07,65
2020-01-08,57
2020-01-09,61
2020-01-10,70
2020-01-11,67
2020-01-12,64
2020-01-13,61
2020-01-14,62
2020-01-15,61
2020-01-16,60
2020-01-17,61
2020-01-18,68
2020-01-19,77
2020-01-20,62
2020-01-21,63
2020-01-22,61
2020-01-23,57
2020-01-24,68
2020-01-25,75
2020-01-26,69
2020-01-27,76
2020-01-28,55
2020-01-29,59
2020-01-30,59
2020-01-31,61
2020-02-01,63
2020-02-02,66
2020-02-03,59
2020-02-04,56
2020-02-05,54
2020-02-06,56
2020-02-07,57
2020-02-08,63
2020-02-09,63
2020-02-10,61
2020-02-11,57
2020-02-12,53
2020-02-13,53
2020-02-14,53
2020-02-15,57
2020-02-16,63
2020-02-17,65
2020-02-18,67
2020-02-19,56
2020-02-20,55
2020-02-21,51
2020-02-22,56
2020-02-23,56
2020-02-24,55
2020-02-25,54
2020-02-26,62
2020-02-27,56
2020-02-28,56
2020-02-29,58
2020-03-01,70
2020-03-02,59
2020-03-03,54
2020-03-04,59
2020-03-05,56
2020-03-06,56
2020-03-07,58
2020-03-08,60
2020-03-09,66
2020-03-10,51
2020-03-11,44
2020-03-12,45
2020-03-13,44
2020-03-14,51
2020-03-15,54
2020-03-16,49
2020-03-17,45
2020-03-18,41
2020-03-19,46
2020-03-20,48
2020-03-21,56
2020-03-22,57
2020-03-23,53
2020-03-24,51
2020-03-25,49
2020-03-26,51
2020-03-27,48
2020-03-28,52
2020-03-29,62
2020-03-30,56
2020-03-31,67
2020-04-01,69
2020-04-02,58
2020-04-03,48
2020-04-04,54
2020-04-05,60
2020-04-06,53
2020-04-07,56
