Categoría: Astrología y predicciones

Día,Geo: Irlanda
2019-12-30,69
2019-12-31,74
2020-01-01,100
2020-01-02,79
2020-01-03,73
2020-01-04,67
2020-01-05,74
2020-01-06,62
2020-01-07,56
2020-01-08,61
2020-01-09,60
2020-01-10,63
2020-01-11,63
2020-01-12,66
2020-01-13,66
2020-01-14,66
2020-01-15,61
2020-01-16,57
2020-01-17,62
2020-01-18,59
2020-01-19,65
2020-01-20,65
2020-01-21,65
2020-01-22,64
2020-01-23,72
2020-01-24,80
2020-01-25,95
2020-01-26,72
2020-01-27,78
2020-01-28,62
2020-01-29,60
2020-01-30,60
2020-01-31,58
2020-02-01,70
2020-02-02,74
2020-02-03,65
2020-02-04,58
2020-02-05,57
2020-02-06,57
2020-02-07,65
2020-02-08,69
2020-02-09,74
2020-02-10,75
2020-02-11,60
2020-02-12,55
2020-02-13,55
2020-02-14,58
2020-02-15,60
2020-02-16,72
2020-02-17,63
2020-02-18,61
2020-02-19,54
2020-02-20,62
2020-02-21,65
2020-02-22,62
2020-02-23,63
2020-02-24,61
2020-02-25,52
2020-02-26,56
2020-02-27,53
2020-02-28,53
2020-02-29,64
2020-03-01,70
2020-03-02,57
2020-03-03,56
2020-03-04,52
2020-03-05,50
2020-03-06,52
2020-03-07,58
2020-03-08,61
2020-03-09,61
2020-03-10,56
2020-03-11,51
2020-03-12,48
2020-03-13,51
2020-03-14,59
2020-03-15,56
2020-03-16,44
2020-03-17,48
2020-03-18,51
2020-03-19,46
2020-03-20,53
2020-03-21,51
2020-03-22,51
2020-03-23,48
2020-03-24,51
2020-03-25,47
2020-03-26,49
2020-03-27,47
2020-03-28,51
2020-03-29,63
2020-03-30,56
2020-03-31,48
2020-04-01,50
2020-04-02,45
2020-04-03,49
2020-04-04,53
2020-04-05,65
2020-04-06,54
2020-04-07,55
