Categoría: Astrología y predicciones

Día,Geo: Suiza
2019-12-30,62
2019-12-31,72
2020-01-01,100
2020-01-02,68
2020-01-03,70
2020-01-04,64
2020-01-05,75
2020-01-06,70
2020-01-07,65
2020-01-08,62
2020-01-09,64
2020-01-10,66
2020-01-11,59
2020-01-12,64
2020-01-13,61
2020-01-14,57
2020-01-15,62
2020-01-16,64
2020-01-17,60
2020-01-18,58
2020-01-19,67
2020-01-20,61
2020-01-21,60
2020-01-22,60
2020-01-23,63
2020-01-24,62
2020-01-25,69
2020-01-26,66
2020-01-27,61
2020-01-28,62
2020-01-29,56
2020-01-30,57
2020-01-31,60
2020-02-01,55
2020-02-02,63
2020-02-03,54
2020-02-04,57
2020-02-05,56
2020-02-06,57
2020-02-07,56
2020-02-08,50
2020-02-09,57
2020-02-10,57
2020-02-11,56
2020-02-12,51
2020-02-13,54
2020-02-14,55
2020-02-15,49
2020-02-16,60
2020-02-17,59
2020-02-18,56
2020-02-19,58
2020-02-20,57
2020-02-21,54
2020-02-22,49
2020-02-23,59
2020-02-24,55
2020-02-25,54
2020-02-26,53
2020-02-27,55
2020-02-28,53
2020-02-29,44
2020-03-01,59
2020-03-02,55
2020-03-03,52
2020-03-04,51
2020-03-05,51
2020-03-06,52
2020-03-07,51
2020-03-08,55
2020-03-09,56
2020-03-10,50
2020-03-11,48
2020-03-12,47
2020-03-13,48
2020-03-14,46
2020-03-15,47
2020-03-16,47
2020-03-17,41
2020-03-18,43
2020-03-19,48
2020-03-20,47
2020-03-21,47
2020-03-22,54
2020-03-23,54
2020-03-24,49
2020-03-25,50
2020-03-26,52
2020-03-27,54
2020-03-28,46
2020-03-29,55
2020-03-30,52
2020-03-31,54
2020-04-01,52
2020-04-02,50
2020-04-03,51
2020-04-04,51
2020-04-05,53
2020-04-06,52
2020-04-07,53
