Categoría: Astrología y predicciones

Semana,Geo: Austria
2018-12-30,93
2019-01-06,79
2019-01-13,73
2019-01-20,74
2019-01-27,73
2019-02-03,73
2019-02-10,69
2019-02-17,70
2019-02-24,71
2019-03-03,68
2019-03-10,65
2019-03-17,70
2019-03-24,70
2019-03-31,68
2019-04-07,67
2019-04-14,64
2019-04-21,64
2019-04-28,68
2019-05-05,71
2019-05-12,66
2019-05-19,67
2019-05-26,66
2019-06-02,63
2019-06-09,64
2019-06-16,64
2019-06-23,66
2019-06-30,69
2019-07-07,66
2019-07-14,73
2019-07-21,60
2019-07-28,68
2019-08-04,62
2019-08-11,61
2019-08-18,66
2019-08-25,63
2019-09-01,66
2019-09-08,70
2019-09-15,61
2019-09-22,63
2019-09-29,68
2019-10-06,66
2019-10-13,69
2019-10-20,69
2019-10-27,67
2019-11-03,71
2019-11-10,72
2019-11-17,71
2019-11-24,69
2019-12-01,67
2019-12-08,82
2019-12-15,75
2019-12-22,76
2019-12-29,100
2020-01-05,83
2020-01-12,80
2020-01-19,79
2020-01-26,75
2020-02-02,72
2020-02-09,69
2020-02-16,74
2020-02-23,71
2020-03-01,70
2020-03-08,59
2020-03-15,62
2020-03-22,64
2020-03-29,65
2020-04-05,60
