date,Kirche,isPartial
2018-12-30,37,False
2019-01-06,35,False
2019-01-13,33,False
2019-01-20,32,False
2019-01-27,31,False
2019-02-03,33,False
2019-02-10,33,False
2019-02-17,35,False
2019-02-24,36,False
2019-03-03,35,False
2019-03-10,35,False
2019-03-17,37,False
2019-03-24,33,False
2019-03-31,33,False
2019-04-07,36,False
2019-04-14,66,False
2019-04-21,48,False
2019-04-28,42,False
2019-05-05,39,False
2019-05-12,38,False
2019-05-19,37,False
2019-05-26,39,False
2019-06-02,35,False
2019-06-09,36,False
2019-06-16,38,False
2019-06-23,33,False
2019-06-30,34,False
2019-07-07,33,False
2019-07-14,32,False
2019-07-21,30,False
2019-07-28,29,False
2019-08-04,30,False
2019-08-11,35,False
2019-08-18,34,False
2019-08-25,36,False
2019-09-01,34,False
2019-09-08,38,False
2019-09-15,36,False
2019-09-22,35,False
2019-09-29,35,False
2019-10-06,33,False
2019-10-13,34,False
2019-10-20,33,False
2019-10-27,42,False
2019-11-03,35,False
2019-11-10,37,False
2019-11-17,35,False
2019-11-24,38,False
2019-12-01,41,False
2019-12-08,41,False
2019-12-15,49,False
2019-12-22,100,False
2019-12-29,38,False
2020-01-05,36,False
2020-01-12,35,False
2020-01-19,34,False
2020-01-26,32,False
2020-02-02,31,False
2020-02-09,33,False
2020-02-16,31,False
2020-02-23,32,False
2020-03-01,33,False
2020-03-08,37,False
2020-03-15,33,False
2020-03-22,30,False
2020-03-29,28,False
2020-04-05,46,False
