Categoría: Todas las categorías

Día,Oración: (Irlanda)
2019-12-30,65
2019-12-31,67
2020-01-01,47
2020-01-02,45
2020-01-03,52
2020-01-04,62
2020-01-05,59
2020-01-06,61
2020-01-07,65
2020-01-08,57
2020-01-09,52
2020-01-10,44
2020-01-11,47
2020-01-12,51
2020-01-13,57
2020-01-14,53
2020-01-15,57
2020-01-16,59
2020-01-17,58
2020-01-18,58
2020-01-19,47
2020-01-20,58
2020-01-21,69
2020-01-22,70
2020-01-23,54
2020-01-24,66
2020-01-25,59
2020-01-26,51
2020-01-27,47
2020-01-28,61
2020-01-29,67
2020-01-30,65
2020-01-31,57
2020-02-01,55
2020-02-02,51
2020-02-03,59
2020-02-04,52
2020-02-05,54
2020-02-06,63
2020-02-07,54
2020-02-08,53
2020-02-09,58
2020-02-10,55
2020-02-11,64
2020-02-12,60
2020-02-13,61
2020-02-14,63
2020-02-15,47
2020-02-16,55
2020-02-17,57
2020-02-18,56
2020-02-19,54
2020-02-20,51
2020-02-21,60
2020-02-22,57
2020-02-23,49
2020-02-24,64
2020-02-25,66
2020-02-26,67
2020-02-27,59
2020-02-28,54
2020-02-29,44
2020-03-01,53
2020-03-02,62
2020-03-03,66
2020-03-04,51
2020-03-05,71
2020-03-06,58
2020-03-07,78
2020-03-08,62
2020-03-09,60
2020-03-10,55
2020-03-11,77
2020-03-12,57
2020-03-13,63
2020-03-14,71
2020-03-15,82
2020-03-16,74
2020-03-17,100
2020-03-18,89
2020-03-19,98
2020-03-20,75
2020-03-21,82
2020-03-22,85
2020-03-23,72
2020-03-24,83
2020-03-25,100
2020-03-26,85
2020-03-27,89
2020-03-28,88
2020-03-29,98
2020-03-30,96
2020-03-31,84
2020-04-01,94
2020-04-02,79
2020-04-03,71
2020-04-04,77
2020-04-05,92
2020-04-06,85
2020-04-07,85
