Categoría: Todas las categorías

Día,Oración: (España)
2019-12-30,47
2019-12-31,59
2020-01-01,56
2020-01-02,48
2020-01-03,47
2020-01-04,50
2020-01-05,55
2020-01-06,55
2020-01-07,52
2020-01-08,52
2020-01-09,54
2020-01-10,48
2020-01-11,48
2020-01-12,53
2020-01-13,51
2020-01-14,56
2020-01-15,54
2020-01-16,48
2020-01-17,54
2020-01-18,54
2020-01-19,55
2020-01-20,48
2020-01-21,54
2020-01-22,52
2020-01-23,50
2020-01-24,50
2020-01-25,48
2020-01-26,48
2020-01-27,53
2020-01-28,56
2020-01-29,53
2020-01-30,52
2020-01-31,52
2020-02-01,51
2020-02-02,58
2020-02-03,58
2020-02-04,53
2020-02-05,54
2020-02-06,57
2020-02-07,55
2020-02-08,57
2020-02-09,57
2020-02-10,56
2020-02-11,61
2020-02-12,59
2020-02-13,54
2020-02-14,49
2020-02-15,51
2020-02-16,52
2020-02-17,56
2020-02-18,59
2020-02-19,61
2020-02-20,57
2020-02-21,50
2020-02-22,55
2020-02-23,58
2020-02-24,59
2020-02-25,60
2020-02-26,56
2020-02-27,55
2020-02-28,57
2020-02-29,53
2020-03-01,55
2020-03-02,56
2020-03-03,60
2020-03-04,64
2020-03-05,59
2020-03-06,58
2020-03-07,57
2020-03-08,55
2020-03-09,58
2020-03-10,57
2020-03-11,58
2020-03-12,53
2020-03-13,54
2020-03-14,57
2020-03-15,67
2020-03-16,72
2020-03-17,79
2020-03-18,73
2020-03-19,86
2020-03-20,81
2020-03-21,83
2020-03-22,98
2020-03-23,83
2020-03-24,82
2020-03-25,98
2020-03-26,84
2020-03-27,93
2020-03-28,83
2020-03-29,100
2020-03-30,91
2020-03-31,83
2020-04-01,82
2020-04-02,83
2020-04-03,86
2020-04-04,78
2020-04-05,95
2020-04-06,90
2020-04-07,86
