Categoría: Todas las categorías

Día,Oración: (Portugal)
2019-12-30,48
2019-12-31,61
2020-01-01,71
2020-01-02,44
2020-01-03,51
2020-01-04,58
2020-01-05,52
2020-01-06,56
2020-01-07,56
2020-01-08,52
2020-01-09,53
2020-01-10,50
2020-01-11,54
2020-01-12,59
2020-01-13,45
2020-01-14,56
2020-01-15,55
2020-01-16,67
2020-01-17,53
2020-01-18,59
2020-01-19,57
2020-01-20,59
2020-01-21,60
2020-01-22,55
2020-01-23,65
2020-01-24,61
2020-01-25,56
2020-01-26,60
2020-01-27,55
2020-01-28,57
2020-01-29,62
2020-01-30,66
2020-01-31,59
2020-02-01,56
2020-02-02,64
2020-02-03,54
2020-02-04,55
2020-02-05,65
2020-02-06,57
2020-02-07,68
2020-02-08,68
2020-02-09,64
2020-02-10,56
2020-02-11,65
2020-02-12,67
2020-02-13,56
2020-02-14,45
2020-02-15,59
2020-02-16,55
2020-02-17,64
2020-02-18,66
2020-02-19,76
2020-02-20,68
2020-02-21,59
2020-02-22,67
2020-02-23,64
2020-02-24,55
2020-02-25,65
2020-02-26,57
2020-02-27,57
2020-02-28,62
2020-02-29,68
2020-03-01,66
2020-03-02,62
2020-03-03,67
2020-03-04,62
2020-03-05,66
2020-03-06,62
2020-03-07,57
2020-03-08,59
2020-03-09,55
2020-03-10,61
2020-03-11,47
2020-03-12,54
2020-03-13,51
2020-03-14,73
2020-03-15,69
2020-03-16,61
2020-03-17,62
2020-03-18,67
2020-03-19,83
2020-03-20,57
2020-03-21,88
2020-03-22,81
2020-03-23,73
2020-03-24,71
2020-03-25,100
2020-03-26,65
2020-03-27,84
2020-03-28,92
2020-03-29,93
2020-03-30,66
2020-03-31,61
2020-04-01,66
2020-04-02,61
2020-04-03,57
2020-04-04,73
2020-04-05,75
2020-04-06,59
2020-04-07,67
