Categoría: Todas las categorías

Semana,Oración: (Irlanda)
2018-12-30,63
2019-01-06,65
2019-01-13,60
2019-01-20,64
2019-01-27,65
2019-02-03,62
2019-02-10,69
2019-02-17,63
2019-02-24,66
2019-03-03,78
2019-03-10,72
2019-03-17,65
2019-03-24,70
2019-03-31,70
2019-04-07,66
2019-04-14,71
2019-04-21,62
2019-04-28,71
2019-05-05,85
2019-05-12,66
2019-05-19,68
2019-05-26,61
2019-06-02,69
2019-06-09,63
2019-06-16,55
2019-06-23,52
2019-06-30,52
2019-07-07,50
2019-07-14,56
2019-07-21,55
2019-07-28,49
2019-08-04,53
2019-08-11,56
2019-08-18,56
2019-08-25,60
2019-09-01,56
2019-09-08,57
2019-09-15,60
2019-09-22,59
2019-09-29,62
2019-10-06,59
2019-10-13,60
2019-10-20,55
2019-10-27,53
2019-11-03,58
2019-11-10,60
2019-11-17,56
2019-11-24,51
2019-12-01,58
2019-12-08,58
2019-12-15,55
2019-12-22,58
2019-12-29,58
2020-01-05,60
2020-01-12,61
2020-01-19,68
2020-01-26,61
2020-02-02,59
2020-02-09,59
2020-02-16,59
2020-02-23,61
2020-03-01,68
2020-03-08,70
2020-03-15,97
2020-03-22,97
2020-03-29,95
2020-04-05,100
