Categoría: Autoayuda y motivación

Día,Geo: Países Bajos
2019-12-30,68
2019-12-31,60
2020-01-01,63
2020-01-02,74
2020-01-03,77
2020-01-04,60
2020-01-05,94
2020-01-06,100
2020-01-07,90
2020-01-08,69
2020-01-09,86
2020-01-10,73
2020-01-11,59
2020-01-12,75
2020-01-13,86
2020-01-14,90
2020-01-15,85
2020-01-16,76
2020-01-17,84
2020-01-18,66
2020-01-19,83
2020-01-20,87
2020-01-21,90
2020-01-22,76
2020-01-23,83
2020-01-24,72
2020-01-25,69
2020-01-26,77
2020-01-27,75
2020-01-28,77
2020-01-29,80
2020-01-30,82
2020-01-31,73
2020-02-01,65
2020-02-02,68
2020-02-03,85
2020-02-04,79
2020-02-05,81
2020-02-06,76
2020-02-07,73
2020-02-08,65
2020-02-09,74
2020-02-10,79
2020-02-11,87
2020-02-12,99
2020-02-13,89
2020-02-14,71
2020-02-15,61
2020-02-16,70
2020-02-17,91
2020-02-18,91
2020-02-19,75
2020-02-20,82
2020-02-21,76
2020-02-22,70
2020-02-23,72
2020-02-24,72
2020-02-25,70
2020-02-26,71
2020-02-27,77
2020-02-28,62
2020-02-29,60
2020-03-01,74
2020-03-02,83
2020-03-03,74
2020-03-04,100
2020-03-05,75
2020-03-06,72
2020-03-07,48
2020-03-08,61
2020-03-09,74
2020-03-10,68
2020-03-11,67
2020-03-12,67
2020-03-13,57
2020-03-14,60
2020-03-15,61
2020-03-16,69
2020-03-17,67
2020-03-18,62
2020-03-19,81
2020-03-20,73
2020-03-21,63
2020-03-22,62
2020-03-23,78
2020-03-24,75
2020-03-25,74
2020-03-26,71
2020-03-27,76
2020-03-28,54
2020-03-29,78
2020-03-30,75
2020-03-31,72
2020-04-01,71
2020-04-02,71
2020-04-03,68
2020-04-04,60
2020-04-05,67
2020-04-06,76
2020-04-07,66
