Categoría: Autoayuda y motivación

Semana,Geo: Portugal
2018-12-30,63
2019-01-06,60
2019-01-13,64
2019-01-20,62
2019-01-27,68
2019-02-03,67
2019-02-10,62
2019-02-17,69
2019-02-24,70
2019-03-03,66
2019-03-10,65
2019-03-17,71
2019-03-24,67
2019-03-31,67
2019-04-07,70
2019-04-14,67
2019-04-21,69
2019-04-28,63
2019-05-05,68
2019-05-12,69
2019-05-19,75
2019-05-26,70
2019-06-02,74
2019-06-09,69
2019-06-16,65
2019-06-23,71
2019-06-30,65
2019-07-07,65
2019-07-14,65
2019-07-21,63
2019-07-28,63
2019-08-04,63
2019-08-11,62
2019-08-18,63
2019-08-25,62
2019-09-01,65
2019-09-08,65
2019-09-15,66
2019-09-22,69
2019-09-29,65
2019-10-06,70
2019-10-13,67
2019-10-20,67
2019-10-27,59
2019-11-03,68
2019-11-10,67
2019-11-17,65
2019-11-24,62
2019-12-01,61
2019-12-08,61
2019-12-15,70
2019-12-22,59
2019-12-29,78
2020-01-05,72
2020-01-12,71
2020-01-19,68
2020-01-26,72
2020-02-02,63
2020-02-09,68
2020-02-16,65
2020-02-23,68
2020-03-01,68
2020-03-08,59
2020-03-15,77
2020-03-22,83
2020-03-29,86
2020-04-05,100
