Categoría: Autoayuda y motivación

Día,Geo: Suiza
2019-12-30,56
2019-12-31,52
2020-01-01,74
2020-01-02,78
2020-01-03,68
2020-01-04,63
2020-01-05,89
2020-01-06,100
2020-01-07,73
2020-01-08,68
2020-01-09,84
2020-01-10,79
2020-01-11,76
2020-01-12,83
2020-01-13,89
2020-01-14,88
2020-01-15,78
2020-01-16,76
2020-01-17,78
2020-01-18,81
2020-01-19,81
2020-01-20,89
2020-01-21,81
2020-01-22,93
2020-01-23,99
2020-01-24,76
2020-01-25,73
2020-01-26,80
2020-01-27,82
2020-01-28,92
2020-01-29,71
2020-01-30,88
2020-01-31,77
2020-02-01,74
2020-02-02,77
2020-02-03,69
2020-02-04,91
2020-02-05,84
2020-02-06,83
2020-02-07,79
2020-02-08,58
2020-02-09,78
2020-02-10,90
2020-02-11,72
2020-02-12,91
2020-02-13,71
2020-02-14,75
2020-02-15,56
2020-02-16,79
2020-02-17,82
2020-02-18,72
2020-02-19,92
2020-02-20,78
2020-02-21,62
2020-02-22,60
2020-02-23,64
2020-02-24,76
2020-02-25,72
2020-02-26,81
2020-02-27,66
2020-02-28,56
2020-02-29,68
2020-03-01,79
2020-03-02,79
2020-03-03,83
2020-03-04,65
2020-03-05,79
2020-03-06,72
2020-03-07,54
2020-03-08,73
2020-03-09,73
2020-03-10,76
2020-03-11,65
2020-03-12,59
2020-03-13,52
2020-03-14,52
2020-03-15,77
2020-03-16,63
2020-03-17,61
2020-03-18,74
2020-03-19,72
2020-03-20,75
2020-03-21,82
2020-03-22,92
2020-03-23,83
2020-03-24,73
2020-03-25,83
2020-03-26,85
2020-03-27,88
2020-03-28,71
2020-03-29,84
2020-03-30,75
2020-03-31,61
2020-04-01,83
2020-04-02,80
2020-04-03,72
2020-04-04,74
2020-04-05,73
2020-04-06,73
2020-04-07,67
