Categoría: Autoayuda y motivación

Día,Geo: Bélgica
2019-12-30,67
2019-12-31,53
2020-01-01,63
2020-01-02,60
2020-01-03,57
2020-01-04,61
2020-01-05,80
2020-01-06,70
2020-01-07,69
2020-01-08,63
2020-01-09,68
2020-01-10,54
2020-01-11,54
2020-01-12,83
2020-01-13,79
2020-01-14,74
2020-01-15,66
2020-01-16,78
2020-01-17,52
2020-01-18,54
2020-01-19,66
2020-01-20,69
2020-01-21,60
2020-01-22,71
2020-01-23,60
2020-01-24,56
2020-01-25,57
2020-01-26,54
2020-01-27,70
2020-01-28,80
2020-01-29,77
2020-01-30,67
2020-01-31,70
2020-02-01,54
2020-02-02,74
2020-02-03,75
2020-02-04,57
2020-02-05,67
2020-02-06,61
2020-02-07,64
2020-02-08,57
2020-02-09,57
2020-02-10,73
2020-02-11,74
2020-02-12,72
2020-02-13,58
2020-02-14,61
2020-02-15,53
2020-02-16,70
2020-02-17,76
2020-02-18,74
2020-02-19,64
2020-02-20,76
2020-02-21,65
2020-02-22,57
2020-02-23,66
2020-02-24,66
2020-02-25,64
2020-02-26,58
2020-02-27,60
2020-02-28,64
2020-02-29,54
2020-03-01,58
2020-03-02,55
2020-03-03,50
2020-03-04,53
2020-03-05,66
2020-03-06,67
2020-03-07,67
2020-03-08,62
2020-03-09,63
2020-03-10,61
2020-03-11,64
2020-03-12,52
2020-03-13,45
2020-03-14,54
2020-03-15,62
2020-03-16,59
2020-03-17,64
2020-03-18,51
2020-03-19,70
2020-03-20,67
2020-03-21,91
2020-03-22,87
2020-03-23,79
2020-03-24,90
2020-03-25,79
2020-03-26,70
2020-03-27,69
2020-03-28,74
2020-03-29,87
2020-03-30,82
2020-03-31,100
2020-04-01,72
2020-04-02,79
2020-04-03,62
2020-04-04,62
2020-04-05,65
2020-04-06,55
2020-04-07,67
