Categoría: Autoayuda y motivación

Día,Geo: Austria
2019-12-30,36
2019-12-31,27
2020-01-01,37
2020-01-02,53
2020-01-03,47
2020-01-04,43
2020-01-05,49
2020-01-06,53
2020-01-07,69
2020-01-08,61
2020-01-09,66
2020-01-10,56
2020-01-11,54
2020-01-12,60
2020-01-13,64
2020-01-14,64
2020-01-15,63
2020-01-16,60
2020-01-17,49
2020-01-18,44
2020-01-19,66
2020-01-20,64
2020-01-21,67
2020-01-22,52
2020-01-23,62
2020-01-24,63
2020-01-25,35
2020-01-26,44
2020-01-27,58
2020-01-28,59
2020-01-29,63
2020-01-30,53
2020-01-31,49
2020-02-01,39
2020-02-02,47
2020-02-03,49
2020-02-04,56
2020-02-05,52
2020-02-06,48
2020-02-07,47
2020-02-08,41
2020-02-09,48
2020-02-10,64
2020-02-11,62
2020-02-12,64
2020-02-13,58
2020-02-14,51
2020-02-15,35
2020-02-16,54
2020-02-17,61
2020-02-18,62
2020-02-19,63
2020-02-20,62
2020-02-21,53
2020-02-22,38
2020-02-23,45
2020-02-24,64
2020-02-25,50
2020-02-26,51
2020-02-27,66
2020-02-28,67
2020-02-29,47
2020-03-01,56
2020-03-02,55
2020-03-03,63
2020-03-04,64
2020-03-05,66
2020-03-06,57
2020-03-07,47
2020-03-08,47
2020-03-09,74
2020-03-10,100
2020-03-11,66
2020-03-12,48
2020-03-13,45
2020-03-14,34
2020-03-15,47
2020-03-16,47
2020-03-17,48
2020-03-18,41
2020-03-19,42
2020-03-20,52
2020-03-21,51
2020-03-22,47
2020-03-23,50
2020-03-24,45
2020-03-25,60
2020-03-26,52
2020-03-27,48
2020-03-28,37
2020-03-29,42
2020-03-30,53
2020-03-31,47
2020-04-01,37
2020-04-02,44
2020-04-03,50
2020-04-04,50
2020-04-05,39
2020-04-06,45
2020-04-07,49
