Categoría: Religión y creencias

Día,Religión: (Reino Unido)
2019-12-30,63
2019-12-31,72
2020-01-01,58
2020-01-02,79
2020-01-03,80
2020-01-04,71
2020-01-05,86
2020-01-06,85
2020-01-07,81
2020-01-08,95
2020-01-09,83
2020-01-10,75
2020-01-11,57
2020-01-12,83
2020-01-13,87
2020-01-14,83
2020-01-15,78
2020-01-16,87
2020-01-17,79
2020-01-18,70
2020-01-19,75
2020-01-20,79
2020-01-21,81
2020-01-22,82
2020-01-23,84
2020-01-24,73
2020-01-25,70
2020-01-26,83
2020-01-27,83
2020-01-28,90
2020-01-29,83
2020-01-30,84
2020-01-31,70
2020-02-01,59
2020-02-02,75
2020-02-03,85
2020-02-04,84
2020-02-05,100
2020-02-06,86
2020-02-07,70
2020-02-08,62
2020-02-09,78
2020-02-10,83
2020-02-11,80
2020-02-12,75
2020-02-13,70
2020-02-14,71
2020-02-15,57
2020-02-16,72
2020-02-17,54
2020-02-18,70
2020-02-19,73
2020-02-20,73
2020-02-21,75
2020-02-22,67
2020-02-23,98
2020-02-24,79
2020-02-25,97
2020-02-26,83
2020-02-27,91
2020-02-28,86
2020-02-29,72
2020-03-01,76
2020-03-02,83
2020-03-03,82
2020-03-04,78
2020-03-05,72
2020-03-06,75
2020-03-07,70
2020-03-08,84
2020-03-09,73
2020-03-10,83
2020-03-11,77
2020-03-12,71
2020-03-13,58
2020-03-14,69
2020-03-15,77
2020-03-16,67
2020-03-17,76
2020-03-18,68
2020-03-19,67
2020-03-20,54
2020-03-21,47
2020-03-22,58
2020-03-23,79
2020-03-24,82
2020-03-25,91
2020-03-26,89
2020-03-27,93
2020-03-28,64
2020-03-29,69
2020-03-30,100
2020-03-31,92
2020-04-01,94
2020-04-02,94
2020-04-03,87
2020-04-04,67
2020-04-05,75
2020-04-06,71
2020-04-07,74
