Categoría: Religión y creencias

Día,Religión: (Países Bajos)
2019-12-30,34
2019-12-31,50
2020-01-01,35
2020-01-02,53
2020-01-03,60
2020-01-04,58
2020-01-05,52
2020-01-06,48
2020-01-07,60
2020-01-08,46
2020-01-09,59
2020-01-10,53
2020-01-11,42
2020-01-12,60
2020-01-13,72
2020-01-14,61
2020-01-15,58
2020-01-16,61
2020-01-17,75
2020-01-18,0
2020-01-19,49
2020-01-20,55
2020-01-21,61
2020-01-22,53
2020-01-23,48
2020-01-24,44
2020-01-25,48
2020-01-26,32
2020-01-27,66
2020-01-28,41
2020-01-29,68
2020-01-30,42
2020-01-31,44
2020-02-01,43
2020-02-02,57
2020-02-03,49
2020-02-04,52
2020-02-05,78
2020-02-06,50
2020-02-07,70
2020-02-08,50
2020-02-09,56
2020-02-10,51
2020-02-11,66
2020-02-12,58
2020-02-13,50
2020-02-14,67
2020-02-15,50
2020-02-16,73
2020-02-17,58
2020-02-18,46
2020-02-19,71
2020-02-20,60
2020-02-21,54
2020-02-22,49
2020-02-23,50
2020-02-24,52
2020-02-25,52
2020-02-26,50
2020-02-27,51
2020-02-28,57
2020-02-29,40
2020-03-01,48
2020-03-02,66
2020-03-03,63
2020-03-04,54
2020-03-05,65
2020-03-06,56
2020-03-07,0
2020-03-08,41
2020-03-09,61
2020-03-10,35
2020-03-11,41
2020-03-12,36
2020-03-13,47
2020-03-14,43
2020-03-15,29
2020-03-16,24
2020-03-17,52
2020-03-18,62
2020-03-19,60
2020-03-20,65
2020-03-21,70
2020-03-22,66
2020-03-23,72
2020-03-24,87
2020-03-25,75
2020-03-26,88
2020-03-27,96
2020-03-28,65
2020-03-29,100
2020-03-30,94
2020-03-31,48
2020-04-01,55
2020-04-02,60
2020-04-03,61
2020-04-04,53
2020-04-05,65
2020-04-06,43
2020-04-07,71
