Categoría: Religión y creencias

Día,Religión: (Austria)
2019-12-30,0
2019-12-31,0
2020-01-01,0
2020-01-02,0
2020-01-03,46
2020-01-04,0
2020-01-05,94
2020-01-06,0
2020-01-07,37
2020-01-08,52
2020-01-09,40
2020-01-10,0
2020-01-11,54
2020-01-12,0
2020-01-13,0
2020-01-14,54
2020-01-15,0
2020-01-16,66
2020-01-17,46
2020-01-18,86
2020-01-19,54
2020-01-20,54
2020-01-21,47
2020-01-22,42
2020-01-23,54
2020-01-24,64
2020-01-25,0
2020-01-26,54
2020-01-27,0
2020-01-28,39
2020-01-29,47
2020-01-30,42
2020-01-31,0
2020-02-01,0
2020-02-02,57
2020-02-03,38
2020-02-04,0
2020-02-05,0
2020-02-06,0
2020-02-07,47
2020-02-08,0
2020-02-09,0
2020-02-10,66
2020-02-11,53
2020-02-12,54
2020-02-13,0
2020-02-14,0
2020-02-15,0
2020-02-16,0
2020-02-17,44
2020-02-18,0
2020-02-19,50
2020-02-20,0
2020-02-21,0
2020-02-22,64
2020-02-23,64
2020-02-24,72
2020-02-25,0
2020-02-26,72
2020-02-27,0
2020-02-28,51
2020-02-29,0
2020-03-01,0
2020-03-02,39
2020-03-03,0
2020-03-04,59
2020-03-05,0
2020-03-06,0
2020-03-07,0
2020-03-08,0
2020-03-09,41
2020-03-10,0
2020-03-11,36
2020-03-12,41
2020-03-13,45
2020-03-14,0
2020-03-15,47
2020-03-16,41
2020-03-17,47
2020-03-18,49
2020-03-19,42
2020-03-20,41
2020-03-21,0
2020-03-22,0
2020-03-23,40
2020-03-24,46
2020-03-25,81
2020-03-26,43
2020-03-27,100
2020-03-28,49
2020-03-29,47
2020-03-30,58
2020-03-31,45
2020-04-01,0
2020-04-02,46
2020-04-03,74
2020-04-04,0
2020-04-05,0
2020-04-06,0
2020-04-07,43
