Categoría: Religión y creencias

Día,Religión: (Italia)
2019-12-30,59
2019-12-31,59
2020-01-01,58
2020-01-02,61
2020-01-03,74
2020-01-04,67
2020-01-05,81
2020-01-06,83
2020-01-07,79
2020-01-08,75
2020-01-09,57
2020-01-10,62
2020-01-11,66
2020-01-12,77
2020-01-13,79
2020-01-14,73
2020-01-15,68
2020-01-16,72
2020-01-17,62
2020-01-18,67
2020-01-19,68
2020-01-20,79
2020-01-21,75
2020-01-22,70
2020-01-23,62
2020-01-24,70
2020-01-25,75
2020-01-26,76
2020-01-27,73
2020-01-28,55
2020-01-29,74
2020-01-30,71
2020-01-31,61
2020-02-01,62
2020-02-02,63
2020-02-03,65
2020-02-04,57
2020-02-05,56
2020-02-06,55
2020-02-07,61
2020-02-08,44
2020-02-09,57
2020-02-10,61
2020-02-11,70
2020-02-12,54
2020-02-13,47
2020-02-14,50
2020-02-15,58
2020-02-16,76
2020-02-17,64
2020-02-18,55
2020-02-19,60
2020-02-20,63
2020-02-21,55
2020-02-22,54
2020-02-23,53
2020-02-24,57
2020-02-25,43
2020-02-26,51
2020-02-27,53
2020-02-28,45
2020-02-29,60
2020-03-01,63
2020-03-02,52
2020-03-03,60
2020-03-04,45
2020-03-05,60
2020-03-06,57
2020-03-07,64
2020-03-08,70
2020-03-09,51
2020-03-10,63
2020-03-11,62
2020-03-12,70
2020-03-13,66
2020-03-14,70
2020-03-15,76
2020-03-16,73
2020-03-17,85
2020-03-18,72
2020-03-19,81
2020-03-20,72
2020-03-21,78
2020-03-22,77
2020-03-23,80
2020-03-24,83
2020-03-25,79
2020-03-26,82
2020-03-27,92
2020-03-28,90
2020-03-29,94
2020-03-30,77
2020-03-31,89
2020-04-01,69
2020-04-02,86
2020-04-03,86
2020-04-04,75
2020-04-05,100
2020-04-06,77
2020-04-07,84
